Location,Overall_snr_Girls,Social Category
AHMEDABAD,11.98,Overall
AMRELI,18.25,Overall
ANAND,20.1,Overall
ARAVALLI,14.54,Overall
BANAS KANTHA,19.84,Overall
BHARUCH,16.88,Overall
BHAVNAGAR,14.05,Overall
BOTAD,23.81,Overall
CHHOTAUDEPUR,13.96,Overall
DEVBHOOMI DWARKA,24.25,Overall
DOHAD,26.23,Overall
GANDHINAGAR,10.81,Overall
GIR SOMNATH,16.66,Overall
JAMNAGAR,19.21,Overall
JUNAGADH,12.23,Overall
KACHCHH,20.61,Overall
KHEDA,24.47,Overall
MAHESANA,17.71,Overall
MAHISAGAR,15.23,Overall
MORBI,18.5,Overall
NARMADA,17.7,Overall
NAVSARI,10.85,Overall
PANCH MAHALS,20.37,Overall
PATAN,22.38,Overall
PORBANDAR,13.39,Overall
RAJKOT,9.37,Overall
SABAR KANTHA,15.15,Overall
SURAT,9.96,Overall
SURENDRANAGAR,18.94,Overall
TAPI,10.17,Overall
THE DANGS,15.5,Overall
VADODARA,16.38,Overall
VALSAD,11.43,Overall
