Location,Overall_snr_Overall,Social Category
AHMEDABAD,13.19,Overall
AMRELI,20.0,Overall
ANAND,21.94,Overall
ARAVALLI,16.83,Overall
BANAS KANTHA,19.65,Overall
BHARUCH,22.95,Overall
BHAVNAGAR,15.49,Overall
BOTAD,20.78,Overall
CHHOTAUDEPUR,15.32,Overall
DEVBHOOMI DWARKA,26.68,Overall
DOHAD,26.64,Overall
GANDHINAGAR,13.09,Overall
GIR SOMNATH,17.6,Overall
JAMNAGAR,20.92,Overall
JUNAGADH,15.26,Overall
KACHCHH,25.06,Overall
KHEDA,24.13,Overall
MAHESANA,22.19,Overall
MAHISAGAR,16.4,Overall
MORBI,18.86,Overall
NARMADA,18.69,Overall
NAVSARI,13.98,Overall
PANCH MAHALS,22.69,Overall
PATAN,22.19,Overall
PORBANDAR,17.21,Overall
RAJKOT,12.51,Overall
SABAR KANTHA,16.59,Overall
SURAT,11.88,Overall
SURENDRANAGAR,19.87,Overall
TAPI,11.92,Overall
THE DANGS,17.65,Overall
VADODARA,21.48,Overall
VALSAD,13.1,Overall
