Location,SC_upPrim_Boys,Social Category
AHMEDABAD,0.0,SC
AMRELI,0.0,SC
ANAND,1.33,SC
ARAVALLI,2.32,SC
BANAS KANTHA,3.61,SC
BHARUCH,3.12,SC
BHAVNAGAR,13.16,SC
BOTAD,0.0,SC
CHHOTAUDEPUR,33.33,SC
DEVBHOOMI DWARKA,3.02,SC
DOHAD,0.0,SC
GANDHINAGAR,6.57,SC
GIR SOMNATH,4.77,SC
JAMNAGAR,14.22,SC
JUNAGADH,0.52,SC
KACHCHH,5.75,SC
KHEDA,8.2,SC
MAHESANA,0.0,SC
MAHISAGAR,10.78,SC
MORBI,0.98,SC
NARMADA,0.0,SC
NAVSARI,9.89,SC
PANCH MAHALS,0.0,SC
PATAN,3.19,SC
PORBANDAR,18.36,SC
RAJKOT,4.51,SC
SABAR KANTHA,0.0,SC
SURAT,2.41,SC
SURENDRANAGAR,2.91,SC
TAPI,0.0,SC
THE DANGS,0.0,SC
VADODARA,10.77,SC
VALSAD,17.45,SC
