Location,ST_prim_Girls,Social Category
AHMEDABAD,0.0,ST
AMRELI,0.0,ST
ANAND,0.0,ST
ARAVALLI,1.2,ST
BANAS KANTHA,1.71,ST
BHARUCH,0.0,ST
BHAVNAGAR,28.98,ST
BOTAD,2.14,ST
CHHOTAUDEPUR,0.0,ST
DEVBHOOMI DWARKA,0.0,ST
DOHAD,0.09,ST
GANDHINAGAR,14.57,ST
GIR SOMNATH,0.0,ST
JAMNAGAR,4.96,ST
JUNAGADH,4.39,ST
KACHCHH,4.01,ST
KHEDA,0.0,ST
MAHESANA,0.0,ST
MAHISAGAR,0.0,ST
MORBI,13.61,ST
NARMADA,3.05,ST
NAVSARI,0.66,ST
PANCH MAHALS,0.0,ST
PATAN,0.0,ST
PORBANDAR,4.76,ST
RAJKOT,0.0,ST
SABAR KANTHA,0.77,ST
SURAT,0.09,ST
SURENDRANAGAR,0.0,ST
TAPI,1.58,ST
THE DANGS,1.97,ST
VADODARA,4.65,ST
VALSAD,0.89,ST
