Cluster 1,Cluster 2,Distance,Number of Points
0.0,4.0,0.0,2.0
5.0,33.0,0.0,3.0
6.0,34.0,0.0,4.0
7.0,35.0,0.0,5.0
12.0,36.0,0.0,6.0
13.0,37.0,0.0,7.0
15.0,38.0,0.0,8.0
16.0,39.0,0.0,9.0
18.0,40.0,0.0,10.0
19.0,41.0,0.0,11.0
20.0,42.0,0.0,12.0
22.0,43.0,0.0,13.0
24.0,44.0,0.0,14.0
25.0,45.0,0.0,15.0
28.0,46.0,0.0,16.0
29.0,47.0,0.0,17.0
30.0,48.0,0.0,18.0
31.0,49.0,0.0,19.0
32.0,50.0,0.0,20.0
14.0,27.0,0.040000000000000036,2.0
1.0,10.0,0.07000000000000006,2.0
3.0,26.0,0.10999999999999988,2.0
9.0,17.0,0.10999999999999988,2.0
2.0,21.0,0.11000000000000001,2.0
52.0,55.0,0.28991378028648446,4.0
23.0,54.0,0.5369357503463518,3.0
51.0,56.0,0.5434736758699877,22.0
53.0,57.0,0.7062695425024828,6.0
58.0,60.0,1.7066666666666663,9.0
59.0,61.0,5.0580740825504185,31.0
8.0,62.0,7.172986749694322,32.0
11.0,63.0,23.538345444189567,33.0
