Cluster 1,Cluster 2,Distance,Number of Points
0.0,1.0,0.0,2.0
6.0,33.0,0.0,3.0
13.0,34.0,0.0,4.0
18.0,35.0,0.0,5.0
25.0,36.0,0.0,6.0
28.0,37.0,0.0,7.0
30.0,38.0,0.0,8.0
31.0,39.0,0.0,9.0
16.0,23.0,0.019999999999999574,2.0
26.0,29.0,0.07000000000000006,2.0
14.0,19.0,0.08,2.0
9.0,12.0,0.08999999999999986,2.0
7.0,32.0,0.10000000000000009,2.0
4.0,27.0,0.1200000000000001,2.0
5.0,22.0,0.18999999999999995,2.0
21.0,43.0,0.19629909152447278,3.0
2.0,45.0,0.2078460969082652,3.0
8.0,11.0,0.21000000000000085,2.0
41.0,44.0,0.28991378028648457,4.0
17.0,49.0,0.3061862178478974,4.0
3.0,46.0,0.36950417228136134,3.0
40.0,48.0,0.4384062043356594,12.0
10.0,24.0,0.8299999999999996,2.0
42.0,47.0,0.8485281374238569,4.0
15.0,20.0,1.1899999999999995,2.0
53.0,55.0,1.949401617591067,5.0
54.0,56.0,2.0902312471749784,16.0
51.0,57.0,3.253738874996988,6.0
52.0,58.0,4.64327769768057,9.0
60.0,61.0,8.869736310749165,15.0
50.0,62.0,13.792590011150416,17.0
59.0,63.0,22.176798622613454,33.0
