Cluster 1,Cluster 2,Distance,Number of Points
0.0,1.0,0.0,2.0
2.0,33.0,0.0,3.0
3.0,34.0,0.0,4.0
5.0,35.0,0.0,5.0
7.0,36.0,0.0,6.0
12.0,37.0,0.0,7.0
15.0,38.0,0.0,8.0
16.0,39.0,0.0,9.0
17.0,40.0,0.0,10.0
18.0,41.0,0.0,11.0
20.0,42.0,0.0,12.0
22.0,43.0,0.0,13.0
23.0,44.0,0.0,14.0
24.0,45.0,0.0,15.0
26.0,46.0,0.0,16.0
27.0,47.0,0.0,17.0
14.0,21.0,0.01999999999999999,2.0
11.0,32.0,0.020000000000000018,2.0
6.0,19.0,0.04999999999999999,2.0
4.0,51.0,0.09814954576223636,3.0
28.0,49.0,0.11547005383792515,3.0
9.0,52.0,0.3960008417499471,4.0
48.0,53.0,0.4441358650983577,20.0
25.0,50.0,0.5196152422706631,3.0
13.0,29.0,0.6200000000000001,2.0
8.0,30.0,0.9899999999999993,2.0
10.0,57.0,1.1316065276116665,3.0
54.0,55.0,1.2600105819661462,24.0
31.0,59.0,1.8207873754688286,4.0
56.0,60.0,4.339749523408687,27.0
58.0,61.0,4.474401263483939,6.0
62.0,63.0,15.913599048616712,33.0
