Cluster 1,Cluster 2,Distance,Number of Points
0.0,20.0,0.0,2.0
7.0,29.0,0.05999999999999872,2.0
4.0,26.0,0.08999999999999986,2.0
6.0,11.0,0.13999999999999702,2.0
8.0,13.0,0.14000000000000057,2.0
24.0,34.0,0.2193931022920572,3.0
9.0,17.0,0.2699999999999996,2.0
16.0,23.0,0.28000000000000114,2.0
12.0,33.0,0.32331615074618764,3.0
5.0,15.0,0.3299999999999983,2.0
14.0,38.0,0.34701104689428414,4.0
3.0,36.0,0.4272391992003221,3.0
19.0,37.0,0.4965212315030778,3.0
25.0,28.0,0.5199999999999996,2.0
1.0,2.0,0.7100000000000009,2.0
35.0,41.0,0.7461947913692931,5.0
30.0,42.0,0.883345911860128,3.0
18.0,27.0,1.0099999999999998,2.0
40.0,46.0,1.2445079348883248,4.0
22.0,47.0,1.4953371972011327,3.0
43.0,48.0,1.8309587652374915,9.0
39.0,45.0,1.8771059284618596,5.0
10.0,49.0,2.3392627043579366,4.0
21.0,32.0,3.7199999999999998,2.0
44.0,50.0,4.195731958391368,5.0
51.0,52.0,4.968567868779361,7.0
31.0,55.0,7.579979551423609,5.0
53.0,57.0,8.06277159011005,14.0
54.0,58.0,11.187342848058242,12.0
56.0,60.0,19.389803100746388,16.0
59.0,61.0,23.39617404619824,17.0
62.0,63.0,44.09834493218056,33.0
