Cluster 1,Cluster 2,Distance,Number of Points
1.0,23.0,0.010000000000001563,2.0
15.0,16.0,0.010000000000001563,2.0
22.0,28.0,0.030000000000001137,2.0
0.0,11.0,0.03999999999999915,2.0
20.0,26.0,0.05999999999999872,2.0
5.0,12.0,0.120000000000001,2.0
13.0,19.0,0.129999999999999,2.0
14.0,18.0,0.13000000000000078,2.0
8.0,36.0,0.16165807537309587,3.0
7.0,34.0,0.24826061575153685,3.0
17.0,35.0,0.3752776749732559,3.0
38.0,41.0,0.4441020903651178,5.0
30.0,40.0,0.4676537180435971,3.0
9.0,33.0,0.5138417395787652,3.0
6.0,27.0,0.6099999999999994,2.0
3.0,44.0,0.914024069704951,6.0
10.0,39.0,0.9526279441628838,3.0
25.0,37.0,1.177794549146838,3.0
24.0,45.0,1.2124974226776741,4.0
42.0,46.0,1.299038105676658,6.0
4.0,50.0,1.702395371234308,4.0
2.0,43.0,2.1596334565538364,4.0
29.0,32.0,2.7800000000000002,2.0
48.0,51.0,3.5437649470584236,10.0
49.0,52.0,3.5566666666666666,9.0
21.0,47.0,5.421319027690585,3.0
53.0,54.0,6.36,8.0
31.0,57.0,8.553705369929197,10.0
56.0,58.0,12.294976272383023,13.0
59.0,61.0,17.860869716589026,21.0
55.0,62.0,29.93548653416655,23.0
60.0,63.0,44.16724455216444,33.0
