Cluster 1,Cluster 2,Distance,Number of Points
20.0,30.0,0.0,2.0
0.0,14.0,0.009999999999999787,2.0
7.0,16.0,0.009999999999999787,2.0
6.0,27.0,0.020000000000000462,2.0
4.0,9.0,0.04999999999999982,2.0
29.0,36.0,0.06928203230275516,3.0
5.0,11.0,0.1299999999999999,2.0
28.0,37.0,0.16743157806499148,3.0
2.0,18.0,0.19000000000000006,2.0
17.0,26.0,0.19999999999999973,2.0
22.0,23.0,0.25,2.0
24.0,38.0,0.30618621784789724,4.0
1.0,39.0,0.31754264805429405,3.0
10.0,15.0,0.35999999999999943,2.0
3.0,41.0,0.3637306695894642,3.0
32.0,34.0,0.3752776749732569,3.0
12.0,40.0,0.4490731195102488,4.0
35.0,42.0,0.5444722215136415,4.0
43.0,48.0,0.8029985471136715,5.0
33.0,47.0,0.8675482695504614,5.0
25.0,46.0,1.0854185060764978,3.0
21.0,50.0,1.2174768991648262,5.0
8.0,13.0,1.2400000000000002,2.0
44.0,45.0,1.5476626001197815,7.0
19.0,31.0,1.6300000000000008,2.0
49.0,56.0,2.8671181060023025,11.0
51.0,54.0,3.3227970145646877,10.0
53.0,57.0,4.133764224852049,5.0
52.0,59.0,7.376742280076392,15.0
55.0,60.0,8.377168972869057,7.0
58.0,61.0,13.237640549559705,26.0
62.0,63.0,24.36859295030434,33.0
