Cluster 1,Cluster 2,Distance,Number of Points
2.0,14.0,0.009999999999999787,2.0
4.0,8.0,0.009999999999999787,2.0
11.0,27.0,0.019999999999999574,2.0
0.0,7.0,0.04999999999999982,2.0
9.0,23.0,0.07000000000000028,2.0
5.0,16.0,0.08000000000000007,2.0
18.0,32.0,0.08000000000000007,2.0
15.0,28.0,0.10999999999999943,2.0
22.0,24.0,0.10999999999999943,2.0
6.0,12.0,0.11000000000000032,2.0
13.0,34.0,0.14433756729740746,3.0
29.0,37.0,0.2020725942163688,3.0
10.0,25.0,0.2599999999999998,2.0
3.0,21.0,0.27,2.0
26.0,39.0,0.33486315612998296,3.0
19.0,30.0,0.4400000000000013,2.0
17.0,42.0,0.45610671265980435,3.0
20.0,46.0,0.513841739578767,3.0
1.0,36.0,0.5946707772653147,3.0
40.0,43.0,0.6532431910603179,5.0
38.0,41.0,0.7000357133746822,4.0
35.0,44.0,0.7177929134971082,5.0
33.0,53.0,1.3757967388632177,6.0
51.0,54.0,1.4691516826613478,8.0
49.0,55.0,2.3600000000000003,9.0
31.0,48.0,2.390230114445051,3.0
45.0,56.0,2.7950849718747355,10.0
47.0,50.0,2.9387128701751952,6.0
52.0,58.0,4.4190739980226645,8.0
57.0,60.0,7.285109470694314,15.0
59.0,62.0,13.219011763365671,25.0
61.0,63.0,27.51593284394929,33.0
