Cluster 1,Cluster 2,Distance,Number of Points
0.0,23.0,0.020000000000000462,2.0
8.0,31.0,0.02999999999999936,2.0
1.0,30.0,0.07000000000000028,2.0
5.0,7.0,0.10999999999999943,2.0
16.0,32.0,0.10999999999999988,2.0
6.0,24.0,0.11000000000000032,2.0
14.0,17.0,0.13999999999999968,2.0
11.0,29.0,0.17999999999999972,2.0
4.0,28.0,0.22999999999999865,2.0
2.0,18.0,0.26,2.0
35.0,38.0,0.26870057685088794,4.0
3.0,21.0,0.3500000000000001,2.0
27.0,40.0,0.3695041722813608,3.0
22.0,39.0,0.39259818304894584,3.0
10.0,25.0,0.47000000000000064,2.0
33.0,43.0,0.47356801693808154,6.0
12.0,45.0,0.5715476066494076,4.0
13.0,34.0,0.6870468203356545,3.0
37.0,46.0,0.7255388801895225,5.0
26.0,42.0,0.7274613391789284,3.0
9.0,49.0,0.9233850767691674,5.0
41.0,47.0,0.9616652224137042,4.0
44.0,52.0,1.2625925708636176,5.0
36.0,51.0,1.2829441586778878,7.0
15.0,54.0,1.663358049248568,5.0
19.0,50.0,1.8942720677523248,4.0
20.0,55.0,2.057845151284874,6.0
48.0,53.0,2.2716599190633238,11.0
56.0,60.0,5.331075766781863,18.0
57.0,58.0,8.563447903735971,9.0
59.0,61.0,11.245000000000001,24.0
62.0,63.0,24.435986921304856,33.0
