Cluster 1,Cluster 2,Distance,Number of Points
3.0,7.0,0.019999999999999574,2.0
11.0,32.0,0.03999999999999915,2.0
14.0,26.0,0.060000000000002274,2.0
24.0,28.0,0.07000000000000028,2.0
4.0,20.0,0.0799999999999983,2.0
17.0,31.0,0.08999999999999986,2.0
6.0,8.0,0.09999999999999787,2.0
5.0,15.0,0.21999999999999886,2.0
27.0,29.0,0.23000000000000043,2.0
21.0,39.0,0.23094010767585152,3.0
25.0,34.0,0.2655811238272283,3.0
13.0,23.0,0.28000000000000114,2.0
30.0,37.0,0.3002221399786031,3.0
12.0,33.0,0.38105117766515306,3.0
18.0,35.0,0.39259818304894534,3.0
9.0,40.0,0.43878620458411444,3.0
2.0,16.0,0.5700000000000003,2.0
19.0,46.0,0.624619884409711,4.0
0.0,41.0,0.6524058041842765,3.0
22.0,38.0,0.88334591186013,3.0
1.0,44.0,0.9353074360871922,3.0
36.0,45.0,1.2987404154282225,5.0
10.0,48.0,1.6248281960461735,4.0
42.0,47.0,1.714730299493188,6.0
43.0,51.0,1.7378243102607744,6.0
49.0,52.0,2.455471441495504,5.0
50.0,54.0,2.623636365386368,9.0
53.0,58.0,5.027132383377227,8.0
56.0,59.0,6.164094057974418,15.0
55.0,60.0,10.282608294267236,12.0
57.0,61.0,12.574472439941848,21.0
62.0,63.0,30.263068458999864,33.0
