Cluster 1,Cluster 2,Distance,Number of Points
17.0,20.0,0.010000000000001563,2.0
11.0,21.0,0.03999999999999915,2.0
18.0,26.0,0.08000000000000007,2.0
6.0,8.0,0.08999999999999986,2.0
27.0,29.0,0.20999999999999908,2.0
5.0,12.0,0.21999999999999886,2.0
9.0,16.0,0.21999999999999886,2.0
15.0,22.0,0.23999999999999844,2.0
0.0,14.0,0.25,2.0
1.0,19.0,0.25,2.0
2.0,4.0,0.26000000000000156,2.0
13.0,28.0,0.2699999999999996,2.0
30.0,35.0,0.3579571668975675,3.0
31.0,38.0,0.45033320996790877,3.0
3.0,36.0,0.6177647880328977,3.0
7.0,39.0,0.6350852961085892,3.0
32.0,34.0,0.6928203230275505,3.0
40.0,43.0,0.7353910524340087,4.0
25.0,37.0,0.8025168741735812,3.0
33.0,42.0,0.9475230867899735,4.0
24.0,47.0,0.9716309313039936,4.0
41.0,49.0,1.66538283886919,5.0
44.0,52.0,1.6901479225203946,6.0
23.0,48.0,2.2004582856002215,4.0
45.0,46.0,2.3324950875260866,6.0
51.0,54.0,3.150026454915366,8.0
10.0,56.0,3.1654399378285496,5.0
50.0,55.0,4.042192474388126,10.0
53.0,57.0,4.341614139157616,10.0
60.0,61.0,12.487834480004931,20.0
59.0,62.0,20.023849829640646,25.0
58.0,63.0,26.858093382092708,33.0
