Cluster 1,Cluster 2,Distance,Number of Points
17.0,23.0,0.0,2.0
11.0,32.0,0.009999999999999787,2.0
9.0,10.0,0.03999999999999915,2.0
27.0,29.0,0.03999999999999915,2.0
12.0,30.0,0.04999999999999716,2.0
8.0,14.0,0.0600000000000005,2.0
0.0,34.0,0.10969655114602861,3.0
1.0,28.0,0.129999999999999,2.0
7.0,13.0,0.14000000000000057,2.0
19.0,20.0,0.16999999999999815,2.0
18.0,26.0,0.19000000000000128,2.0
6.0,38.0,0.23094010767585052,3.0
5.0,22.0,0.259999999999998,2.0
2.0,33.0,0.28867513459481287,3.0
4.0,40.0,0.3290896534380889,3.0
3.0,24.0,0.38000000000000256,2.0
25.0,36.0,0.7043673284113428,3.0
31.0,41.0,0.7274613391789273,3.0
43.0,48.0,0.7424621202458754,4.0
15.0,16.0,0.9299999999999997,2.0
21.0,39.0,1.04511562358749,4.0
45.0,46.0,1.105091248117848,5.0
37.0,51.0,1.4166215679096055,6.0
42.0,47.0,1.6498909054843587,5.0
49.0,53.0,2.2898617134374435,7.0
50.0,54.0,2.579406908574139,8.0
35.0,52.0,2.9203510063004434,4.0
44.0,55.0,3.3799999999999986,9.0
56.0,58.0,6.148401793587066,13.0
57.0,60.0,10.308266100562207,16.0
59.0,61.0,11.595907775992405,17.0
62.0,63.0,29.0954797393959,33.0
