Cluster 1,Cluster 2,Distance,Number of Points
17.0,20.0,0.03000000000000025,2.0
26.0,32.0,0.04999999999999938,2.0
13.0,19.0,0.04999999999999982,2.0
25.0,29.0,0.05999999999999961,2.0
11.0,15.0,0.05999999999999961,2.0
3.0,7.0,0.08000000000000007,2.0
4.0,28.0,0.08000000000000007,2.0
5.0,16.0,0.10000000000000009,2.0
22.0,34.0,0.15588457268119896,3.0
9.0,30.0,0.1899999999999995,2.0
12.0,27.0,0.1999999999999993,2.0
1.0,6.0,0.21999999999999975,2.0
10.0,39.0,0.23094010767585052,3.0
14.0,38.0,0.24248711305964277,3.0
23.0,41.0,0.2816913204200653,4.0
8.0,37.0,0.28867513459481237,3.0
0.0,2.0,0.3,2.0
31.0,40.0,0.32331615074619047,3.0
24.0,36.0,0.33486315612998246,3.0
21.0,49.0,0.5196152422706631,3.0
18.0,46.0,0.5756300895540467,4.0
42.0,43.0,0.657609306503489,4.0
35.0,48.0,0.6997189912148072,5.0
44.0,47.0,0.7470943715488694,6.0
33.0,50.0,0.8546383250631031,5.0
51.0,54.0,1.3964453171569318,7.0
45.0,55.0,2.2256744296205286,8.0
53.0,57.0,2.3474641163983265,9.0
56.0,58.0,3.226467976657386,13.0
52.0,60.0,4.266210913158837,12.0
59.0,61.0,7.6367610072149485,21.0
62.0,63.0,15.376251576834731,33.0
