Cluster 1,Cluster 2,Distance,Number of Points
20.0,24.0,0.009999999999999787,2.0
1.0,31.0,0.010000000000000675,2.0
16.0,17.0,0.020000000000000462,2.0
26.0,34.0,0.028867513459481187,3.0
12.0,25.0,0.03000000000000025,2.0
2.0,5.0,0.040000000000000036,2.0
9.0,29.0,0.05999999999999961,2.0
4.0,28.0,0.0600000000000005,2.0
6.0,37.0,0.06350852961085902,3.0
0.0,18.0,0.06999999999999984,2.0
32.0,36.0,0.1143095213298821,4.0
7.0,10.0,0.16999999999999993,2.0
14.0,42.0,0.19052558883257625,3.0
30.0,35.0,0.19629909152447317,3.0
13.0,23.0,0.2400000000000002,2.0
22.0,41.0,0.2653613888015107,4.0
11.0,19.0,0.33000000000000007,2.0
33.0,43.0,0.33476359818036777,6.0
27.0,39.0,0.3464101615137758,3.0
44.0,47.0,0.5586143571373733,4.0
15.0,49.0,0.5831237718815219,3.0
3.0,45.0,0.7960841664045327,4.0
46.0,50.0,0.8566666666666667,9.0
48.0,51.0,1.087838617232748,7.0
40.0,53.0,1.373618093454897,5.0
38.0,54.0,1.5880858499044272,6.0
8.0,52.0,2.1092391993323103,5.0
55.0,56.0,2.9274014697474207,16.0
21.0,58.0,3.786080395594468,7.0
59.0,60.0,5.875218172240804,21.0
61.0,62.0,10.614527443892303,28.0
57.0,63.0,15.999389340348875,33.0
