Cluster 1,Cluster 2,Distance,Number of Points
17.0,31.0,0.0,2.0
25.0,30.0,0.009999999999999787,2.0
9.0,27.0,0.019999999999999574,2.0
4.0,28.0,0.02999999999999936,2.0
22.0,24.0,0.03000000000000025,2.0
20.0,33.0,0.03464101615137783,3.0
26.0,32.0,0.040000000000000036,2.0
3.0,18.0,0.050000000000000044,2.0
12.0,35.0,0.057735026918962366,3.0
23.0,34.0,0.06350852961085952,3.0
19.0,36.0,0.08660254037844407,3.0
7.0,16.0,0.11999999999999966,2.0
2.0,40.0,0.1443375672974063,3.0
11.0,43.0,0.17146428199482244,4.0
1.0,39.0,0.1847520861406809,3.0
29.0,41.0,0.2980212520386198,4.0
6.0,37.0,0.3059956426705018,3.0
5.0,38.0,0.33068111527572924,4.0
0.0,45.0,0.39600084174994704,4.0
44.0,47.0,0.45443004595500386,5.0
8.0,46.0,0.5755345341506457,5.0
10.0,13.0,0.6600000000000001,2.0
14.0,51.0,0.6925388075768752,5.0
15.0,53.0,0.7436128024718228,6.0
42.0,49.0,0.7967433714816835,6.0
50.0,52.0,1.3776989672800237,9.0
48.0,57.0,1.6413419306571482,10.0
21.0,55.0,2.4942012749575766,6.0
54.0,56.0,2.7712812921102032,8.0
58.0,59.0,4.516698698662877,19.0
60.0,62.0,9.325237606680734,25.0
61.0,63.0,14.912188319788894,33.0
