Cluster 1,Cluster 2,Distance,Number of Points
0.0,4.0,0.0,2.0
1.0,16.0,0.0,2.0
8.0,33.0,0.0,3.0
9.0,35.0,0.0,4.0
10.0,36.0,0.0,5.0
12.0,37.0,0.0,6.0
14.0,38.0,0.0,7.0
17.0,39.0,0.0,8.0
18.0,40.0,0.0,9.0
19.0,41.0,0.0,10.0
20.0,42.0,0.0,11.0
21.0,43.0,0.0,12.0
23.0,44.0,0.0,13.0
26.0,45.0,0.0,14.0
27.0,46.0,0.0,15.0
29.0,47.0,0.0,16.0
30.0,48.0,0.0,17.0
3.0,7.0,0.009999999999999995,2.0
5.0,28.0,0.07999999999999985,2.0
25.0,34.0,0.19629909152447292,3.0
49.0,50.0,0.1986401136146526,19.0
11.0,32.0,0.3200000000000003,2.0
15.0,51.0,0.3579571668975679,3.0
22.0,52.0,0.530722777603022,4.0
2.0,24.0,0.6200000000000001,2.0
6.0,13.0,1.0299999999999994,2.0
55.0,56.0,1.385644082659585,7.0
54.0,58.0,2.0718228688765827,4.0
31.0,57.0,3.3139905451484517,3.0
53.0,59.0,4.013107277079827,26.0
61.0,62.0,9.944888031868505,29.0
60.0,63.0,25.653218831481613,33.0
