Cluster 1,Cluster 2,Distance,Number of Points
0.0,3.0,0.0,2.0
4.0,33.0,0.0,3.0
5.0,34.0,0.0,4.0
7.0,35.0,0.0,5.0
8.0,36.0,0.0,6.0
9.0,37.0,0.0,7.0
10.0,38.0,0.0,8.0
18.0,39.0,0.0,9.0
19.0,40.0,0.0,10.0
20.0,41.0,0.0,11.0
21.0,42.0,0.0,12.0
22.0,43.0,0.0,13.0
24.0,44.0,0.0,14.0
25.0,45.0,0.0,15.0
26.0,46.0,0.0,16.0
27.0,47.0,0.0,17.0
29.0,48.0,0.0,18.0
30.0,49.0,0.0,19.0
16.0,28.0,0.10999999999999988,2.0
15.0,17.0,0.13,2.0
2.0,23.0,0.25,2.0
14.0,52.0,0.35218366420567176,3.0
12.0,53.0,0.6177647880328995,3.0
1.0,51.0,0.9064399226277122,3.0
50.0,54.0,1.085065282214239,22.0
6.0,13.0,1.3999999999999995,2.0
55.0,56.0,1.9572174125528317,6.0
31.0,58.0,2.6442642328884856,3.0
32.0,60.0,5.172505840177146,4.0
57.0,59.0,6.622256125405917,28.0
11.0,61.0,10.74858176691232,5.0
62.0,63.0,25.64745991659135,33.0
