Cluster 1,Cluster 2,Distance,Number of Points
5.0,17.0,0.020000000000003126,2.0
27.0,29.0,0.02999999999999936,2.0
1.0,14.0,0.0600000000000005,2.0
21.0,33.0,0.08082903768654794,3.0
15.0,22.0,0.129999999999999,2.0
18.0,25.0,0.3200000000000003,2.0
11.0,35.0,0.41569219381653094,3.0
10.0,28.0,0.5899999999999999,2.0
3.0,12.0,0.6500000000000004,2.0
19.0,23.0,0.6999999999999993,2.0
4.0,7.0,0.7100000000000009,2.0
0.0,34.0,0.9526279441628827,3.0
8.0,16.0,1.0300000000000011,2.0
24.0,36.0,1.2696521833426122,4.0
6.0,37.0,1.3567731325956194,3.0
9.0,31.0,1.3800000000000026,2.0
38.0,42.0,1.470782104868015,4.0
39.0,44.0,1.6108072510390563,6.0
32.0,47.0,2.077983798461064,4.0
40.0,46.0,2.1351385591260037,6.0
26.0,41.0,2.153516504077303,3.0
13.0,48.0,2.644264232888489,3.0
2.0,53.0,3.547677644130971,4.0
43.0,52.0,4.4831248402574415,8.0
45.0,51.0,4.984711626563764,6.0
20.0,54.0,5.331722673458052,4.0
49.0,50.0,6.2111738021085845,10.0
30.0,55.0,12.905255131147156,5.0
56.0,59.0,14.354811059556148,18.0
57.0,58.0,15.456730572795786,10.0
60.0,61.0,28.41404317695452,23.0
62.0,63.0,58.546281042210666,33.0
