Cluster 1,Cluster 2,Distance,Number of Points
5.0,18.0,0.03999999999999915,2.0
11.0,27.0,0.049999999999998934,2.0
17.0,28.0,0.07000000000000028,2.0
22.0,32.0,0.0799999999999983,2.0
8.0,13.0,0.10999999999999943,2.0
21.0,35.0,0.16743157806499098,3.0
10.0,23.0,0.22000000000000064,2.0
14.0,33.0,0.23094010767585155,3.0
1.0,38.0,0.24903145718295766,4.0
0.0,25.0,0.2699999999999996,2.0
9.0,16.0,0.379999999999999,2.0
2.0,26.0,0.47000000000000064,2.0
29.0,40.0,0.6531972647421799,4.0
12.0,44.0,0.8371578903249579,3.0
7.0,36.0,0.9006664199358134,3.0
34.0,42.0,1.187939392393401,4.0
6.0,31.0,1.3599999999999994,2.0
4.0,15.0,1.5,2.0
19.0,24.0,1.5399999999999991,2.0
39.0,41.0,1.865694687419854,6.0
3.0,46.0,3.1516768023810227,4.0
47.0,50.0,3.1603544105052523,5.0
45.0,48.0,3.569999999999999,8.0
43.0,49.0,4.695189027078674,4.0
51.0,52.0,4.812214493695531,8.0
53.0,55.0,8.169506309033205,12.0
37.0,56.0,9.07127701410704,6.0
54.0,57.0,13.916077047236243,13.0
30.0,58.0,15.813381058863428,13.0
20.0,59.0,24.966308821899883,7.0
60.0,61.0,29.388016396012638,26.0
62.0,63.0,58.9419983895963,33.0
