Cluster 1,Cluster 2,Distance,Number of Points
0.0,5.0,0.0,2.0
10.0,33.0,0.0,3.0
16.0,18.0,0.0,2.0
20.0,34.0,0.0,4.0
29.0,36.0,0.0,5.0
30.0,37.0,0.0,6.0
24.0,25.0,0.009999999999999787,2.0
15.0,28.0,0.019999999999999574,2.0
19.0,23.0,0.020000000000000018,2.0
3.0,17.0,0.040000000000000036,2.0
26.0,38.0,0.05237229365663817,7.0
2.0,22.0,0.0699999999999994,2.0
31.0,35.0,0.11547005383792475,3.0
1.0,42.0,0.15011106998930257,3.0
9.0,27.0,0.16000000000000014,2.0
39.0,44.0,0.21213203435596412,4.0
4.0,40.0,0.25403411844343504,3.0
21.0,41.0,0.46188021535170076,3.0
14.0,46.0,0.4735680169380813,4.0
12.0,48.0,0.7462975277997371,5.0
7.0,49.0,1.1553426620127323,4.0
11.0,45.0,1.2574047346286987,4.0
47.0,51.0,1.2737346662472524,6.0
6.0,13.0,2.039999999999999,2.0
50.0,52.0,2.4038316635460695,8.0
53.0,54.0,2.4850000000000003,8.0
43.0,55.0,4.560994686192095,13.0
32.0,56.0,7.505553499465134,3.0
57.0,59.0,9.563200243699747,21.0
58.0,61.0,20.141685039527523,29.0
8.0,60.0,27.94051299934678,4.0
62.0,63.0,53.49664485031126,33.0
