Cluster 1,Cluster 2,Distance,Number of Points
0.0,1.0,0.0,2.0
2.0,33.0,0.0,3.0
3.0,34.0,0.0,4.0
5.0,35.0,0.0,5.0
7.0,36.0,0.0,6.0
8.0,37.0,0.0,7.0
9.0,38.0,0.0,8.0
10.0,39.0,0.0,9.0
16.0,40.0,0.0,10.0
18.0,41.0,0.0,11.0
21.0,42.0,0.0,12.0
22.0,43.0,0.0,13.0
23.0,44.0,0.0,14.0
4.0,31.0,0.009999999999999787,2.0
11.0,27.0,0.010000000000000009,2.0
17.0,30.0,0.029999999999999805,2.0
26.0,47.0,0.08660254037844393,3.0
46.0,48.0,0.16970562748477125,4.0
14.0,28.0,0.16999999999999993,2.0
20.0,32.0,0.20999999999999996,2.0
29.0,50.0,0.28460498941515416,5.0
13.0,15.0,0.29000000000000004,2.0
12.0,25.0,0.6200000000000001,2.0
49.0,52.0,0.9372619697821948,5.0
19.0,24.0,0.9800000000000004,2.0
51.0,53.0,1.2930860097346302,7.0
54.0,55.0,1.6334166645409252,4.0
45.0,56.0,2.0141468090536625,19.0
57.0,59.0,3.2537388749969876,6.0
58.0,60.0,7.783076095651372,26.0
61.0,62.0,15.335473289913194,32.0
6.0,63.0,32.19566246900632,33.0
