Cluster 1,Cluster 2,Distance,Number of Points
0.0,1.0,0.0,2.0
2.0,33.0,0.0,3.0
5.0,34.0,0.0,4.0
8.0,35.0,0.0,5.0
10.0,27.0,0.0,2.0
9.0,36.0,0.0,6.0
12.0,38.0,0.0,7.0
16.0,39.0,0.0,8.0
17.0,40.0,0.0,9.0
18.0,41.0,0.0,10.0
22.0,42.0,0.0,11.0
23.0,43.0,0.0,12.0
25.0,44.0,0.0,13.0
28.0,45.0,0.0,14.0
24.0,31.0,0.10999999999999943,2.0
21.0,26.0,0.10999999999999999,2.0
4.0,29.0,0.1299999999999999,2.0
37.0,46.0,0.16837458240482733,16.0
7.0,30.0,0.17000000000000015,2.0
32.0,48.0,0.202072594216369,3.0
13.0,47.0,0.294448637286709,3.0
14.0,15.0,0.3799999999999999,2.0
3.0,49.0,0.513841739578767,3.0
51.0,55.0,0.8649662806529899,5.0
53.0,54.0,0.9140240697049509,5.0
11.0,19.0,0.9600000000000009,2.0
50.0,52.0,1.7130154493829182,19.0
20.0,56.0,1.7170226168186211,6.0
59.0,60.0,5.466345037607435,25.0
57.0,61.0,11.512364367641137,30.0
6.0,58.0,17.193491016467053,3.0
62.0,63.0,41.6247815464283,33.0
