Cluster 1,Cluster 2,Distance,Number of Points
0.0,1.0,0.0,2.0
2.0,33.0,0.0,3.0
5.0,34.0,0.0,4.0
7.0,35.0,0.0,5.0
8.0,36.0,0.0,6.0
9.0,37.0,0.0,7.0
10.0,38.0,0.0,8.0
16.0,39.0,0.0,9.0
18.0,40.0,0.0,10.0
22.0,41.0,0.0,11.0
23.0,42.0,0.0,12.0
28.0,43.0,0.0,13.0
21.0,27.0,0.009999999999999953,2.0
4.0,20.0,0.06000000000000005,2.0
30.0,46.0,0.17320508075688787,3.0
3.0,26.0,0.18000000000000005,2.0
14.0,31.0,0.19999999999999973,2.0
12.0,29.0,0.19999999999999996,2.0
45.0,48.0,0.4030508652763321,4.0
17.0,32.0,0.42000000000000015,2.0
25.0,47.0,0.46540305112880376,4.0
11.0,24.0,0.5200000000000005,2.0
13.0,15.0,0.6699999999999999,2.0
50.0,53.0,0.6940220937885674,6.0
44.0,51.0,1.0573732715054407,17.0
52.0,56.0,1.633901261806641,8.0
54.0,55.0,2.0576807332528526,4.0
49.0,58.0,3.0634131291747124,10.0
19.0,59.0,4.461973778497583,5.0
57.0,60.0,7.449981649609661,27.0
61.0,62.0,16.58562084865035,32.0
6.0,63.0,34.57835038489993,33.0
