Cluster 1,Cluster 2,Distance,Number of Points
2.0,9.0,0.0,2.0
12.0,33.0,0.0,3.0
16.0,34.0,0.0,4.0
21.0,35.0,0.0,5.0
23.0,36.0,0.0,6.0
24.0,37.0,0.0,7.0
17.0,29.0,0.009999999999999787,2.0
22.0,39.0,0.0288675134594817,3.0
11.0,15.0,0.030000000000001137,2.0
5.0,32.0,0.040000000000000036,2.0
1.0,13.0,0.05000000000000071,2.0
10.0,30.0,0.0699999999999994,2.0
0.0,7.0,0.129999999999999,2.0
8.0,40.0,0.1918766965180155,4.0
14.0,20.0,0.29000000000000004,2.0
4.0,31.0,0.5099999999999998,2.0
3.0,47.0,0.5600297611139373,3.0
44.0,46.0,0.6001249869818787,6.0
27.0,50.0,1.13909738703188,7.0
41.0,48.0,1.2020815280171315,4.0
42.0,49.0,1.4975535605335342,5.0
43.0,51.0,1.7096592995784043,9.0
18.0,53.0,2.4399795081106728,6.0
19.0,28.0,2.6099999999999994,2.0
25.0,45.0,3.5045161339810282,3.0
26.0,54.0,3.72827067448465,10.0
52.0,57.0,7.585552684136437,7.0
55.0,58.0,8.829287626983277,16.0
56.0,59.0,16.860995140941625,9.0
38.0,60.0,17.22658410712931,23.0
6.0,61.0,30.482078669277136,10.0
62.0,63.0,54.255945363367566,33.0
