Cluster 1,Cluster 2,Distance,Number of Points
9.0,12.0,0.0,2.0
14.0,33.0,0.0,3.0
16.0,34.0,0.0,4.0
21.0,35.0,0.0,5.0
22.0,27.0,0.009999999999999787,2.0
5.0,30.0,0.0600000000000005,2.0
8.0,29.0,0.1299999999999999,2.0
13.0,15.0,0.1399999999999988,2.0
17.0,26.0,0.1399999999999988,2.0
1.0,7.0,0.14000000000000057,2.0
37.0,38.0,0.19091883092036754,4.0
25.0,42.0,0.2655811238272263,3.0
10.0,39.0,0.31754264805429405,3.0
3.0,18.0,0.31999999999999984,2.0
4.0,23.0,0.4399999999999995,2.0
2.0,24.0,0.4700000000000001,2.0
20.0,32.0,0.5800000000000001,2.0
43.0,45.0,0.7761458503093225,7.0
31.0,44.0,1.110435350061707,4.0
11.0,28.0,1.3100000000000023,2.0
46.0,48.0,1.5768481220460007,4.0
0.0,40.0,2.5287941790505593,3.0
49.0,50.0,2.791897573961492,9.0
41.0,47.0,2.927422074112307,4.0
36.0,53.0,3.462694037884375,9.0
51.0,54.0,4.4994856848946,7.0
55.0,56.0,7.210536568580566,13.0
52.0,58.0,10.959709835690893,9.0
6.0,19.0,11.57,2.0
57.0,59.0,22.776723626563125,22.0
60.0,62.0,40.4781309194302,31.0
61.0,63.0,59.37493624959277,33.0
