Cluster 1,Cluster 2,Distance,Number of Points
2.0,9.0,0.0,2.0
12.0,33.0,0.0,3.0
14.0,34.0,0.0,4.0
16.0,35.0,0.0,5.0
21.0,36.0,0.0,6.0
24.0,37.0,0.0,7.0
8.0,29.0,0.02999999999999936,2.0
20.0,32.0,0.04999999999999982,2.0
0.0,25.0,0.05000000000000071,2.0
10.0,39.0,0.051961524227066236,3.0
15.0,31.0,0.14999999999999858,2.0
22.0,42.0,0.17146428199482278,4.0
27.0,44.0,0.3857978745405422,5.0
17.0,30.0,0.4400000000000004,2.0
3.0,18.0,0.45999999999999996,2.0
1.0,26.0,0.5199999999999996,2.0
23.0,40.0,0.7563288526384095,3.0
7.0,11.0,0.9100000000000001,2.0
5.0,45.0,0.9604998698594391,6.0
13.0,48.0,1.2355295760657994,3.0
46.0,51.0,1.3509996299037244,8.0
41.0,50.0,1.9091883092036799,4.0
4.0,43.0,2.2805335632990213,3.0
19.0,28.0,2.6099999999999994,2.0
47.0,49.0,3.403061366867583,5.0
54.0,55.0,5.301863104697478,7.0
52.0,53.0,6.165830573950818,11.0
38.0,57.0,8.907366239991106,12.0
56.0,58.0,18.100718612411885,9.0
59.0,60.0,20.034126247299962,23.0
6.0,61.0,32.82547790969691,10.0
62.0,63.0,55.537364578229,33.0
