Location,Cluster,Caste
AHMEDABAD,2,General
AMRELI,3,General
ANAND,5,General
ARAVALLI,3,General
BANAS KANTHA,2,General
BHARUCH,2,General
BHAVNAGAR,2,General
BOTAD,4,General
CHHOTAUDEPUR,6,General
DEVBHOOMI DWARKA,4,General
DOHAD,2,General
GANDHINAGAR,7,General
GIR SOMNATH,2,General
JAMNAGAR,2,General
JUNAGADH,4,General
KACHCHH,2,General
KHEDA,2,General
MAHESANA,5,General
MAHISAGAR,2,General
MORBI,2,General
NARMADA,2,General
NAVSARI,2,General
PANCH MAHALS,2,General
PATAN,1,General
PORBANDAR,1,General
RAJKOT,2,General
SABAR KANTHA,1,General
SURAT,5,General
SURENDRANAGAR,2,General
TAPI,2,General
THE DANGS,2,General
VADODARA,2,General
VALSAD,2,General
