Location,Cluster,Caste
AHMEDABAD,2,General
AMRELI,2,General
ANAND,6,General
ARAVALLI,6,General
BANAS KANTHA,3,General
BHARUCH,4,General
BHAVNAGAR,2,General
BOTAD,1,General
CHHOTAUDEPUR,7,General
DEVBHOOMI DWARKA,4,General
DOHAD,5,General
GANDHINAGAR,2,General
GIR SOMNATH,7,General
JAMNAGAR,3,General
JUNAGADH,3,General
KACHCHH,4,General
KHEDA,4,General
MAHESANA,6,General
MAHISAGAR,6,General
MORBI,1,General
NARMADA,4,General
NAVSARI,7,General
PANCH MAHALS,6,General
PATAN,6,General
PORBANDAR,6,General
RAJKOT,1,General
SABAR KANTHA,7,General
SURAT,3,General
SURENDRANAGAR,2,General
TAPI,7,General
THE DANGS,1,General
VADODARA,7,General
VALSAD,7,General
