Location,Cluster,Caste
AHMEDABAD,7,General
AMRELI,4,General
ANAND,3,General
ARAVALLI,7,General
BANAS KANTHA,3,General
BHARUCH,3,General
BHAVNAGAR,3,General
BOTAD,6,General
CHHOTAUDEPUR,1,General
DEVBHOOMI DWARKA,2,General
DOHAD,1,General
GANDHINAGAR,5,General
GIR SOMNATH,2,General
JAMNAGAR,5,General
JUNAGADH,5,General
KACHCHH,3,General
KHEDA,3,General
MAHESANA,7,General
MAHISAGAR,3,General
MORBI,5,General
NARMADA,2,General
NAVSARI,7,General
PANCH MAHALS,3,General
PATAN,6,General
PORBANDAR,7,General
RAJKOT,4,General
SABAR KANTHA,7,General
SURAT,7,General
SURENDRANAGAR,7,General
TAPI,3,General
THE DANGS,4,General
VADODARA,7,General
VALSAD,6,General
