Location,Cluster,Caste
AHMEDABAD,6,General
AMRELI,5,General
ANAND,1,General
ARAVALLI,7,General
BANAS KANTHA,7,General
BHARUCH,1,General
BHAVNAGAR,7,General
BOTAD,5,General
CHHOTAUDEPUR,1,General
DEVBHOOMI DWARKA,3,General
DOHAD,4,General
GANDHINAGAR,5,General
GIR SOMNATH,2,General
JAMNAGAR,6,General
JUNAGADH,6,General
KACHCHH,1,General
KHEDA,1,General
MAHESANA,2,General
MAHISAGAR,2,General
MORBI,5,General
NARMADA,3,General
NAVSARI,7,General
PANCH MAHALS,2,General
PATAN,2,General
PORBANDAR,7,General
RAJKOT,5,General
SABAR KANTHA,7,General
SURAT,7,General
SURENDRANAGAR,6,General
TAPI,2,General
THE DANGS,5,General
VADODARA,7,General
VALSAD,7,General
