Location,Cluster,Caste
AHMEDABAD,1,General
AMRELI,4,General
ANAND,1,General
ARAVALLI,5,General
BANAS KANTHA,1,General
BHARUCH,2,General
BHAVNAGAR,1,General
BOTAD,1,General
CHHOTAUDEPUR,3,General
DEVBHOOMI DWARKA,2,General
DOHAD,5,General
GANDHINAGAR,7,General
GIR SOMNATH,5,General
JAMNAGAR,1,General
JUNAGADH,1,General
KACHCHH,6,General
KHEDA,3,General
MAHESANA,4,General
MAHISAGAR,1,General
MORBI,1,General
NARMADA,2,General
NAVSARI,2,General
PANCH MAHALS,4,General
PATAN,5,General
PORBANDAR,1,General
RAJKOT,1,General
SABAR KANTHA,1,General
SURAT,5,General
SURENDRANAGAR,2,General
TAPI,1,General
THE DANGS,1,General
VADODARA,1,General
VALSAD,2,General
