Location,Cluster,Caste
AHMEDABAD,1,General
AMRELI,1,General
ANAND,6,General
ARAVALLI,7,General
BANAS KANTHA,7,General
BHARUCH,2,General
BHAVNAGAR,1,General
BOTAD,6,General
CHHOTAUDEPUR,3,General
DEVBHOOMI DWARKA,4,General
DOHAD,7,General
GANDHINAGAR,3,General
GIR SOMNATH,4,General
JAMNAGAR,1,General
JUNAGADH,1,General
KACHCHH,5,General
KHEDA,4,General
MAHESANA,6,General
MAHISAGAR,1,General
MORBI,1,General
NARMADA,5,General
NAVSARI,1,General
PANCH MAHALS,2,General
PATAN,4,General
PORBANDAR,7,General
RAJKOT,1,General
SABAR KANTHA,2,General
SURAT,7,General
SURENDRANAGAR,1,General
TAPI,2,General
THE DANGS,1,General
VADODARA,1,General
VALSAD,6,General
