Location,Cluster,Caste
AHMEDABAD,2,General
AMRELI,2,General
ANAND,3,General
ARAVALLI,6,General
BANAS KANTHA,1,General
BHARUCH,3,General
BHAVNAGAR,2,General
BOTAD,2,General
CHHOTAUDEPUR,4,General
DEVBHOOMI DWARKA,1,General
DOHAD,6,General
GANDHINAGAR,7,General
GIR SOMNATH,5,General
JAMNAGAR,2,General
JUNAGADH,2,General
KACHCHH,4,General
KHEDA,6,General
MAHESANA,1,General
MAHISAGAR,2,General
MORBI,2,General
NARMADA,6,General
NAVSARI,3,General
PANCH MAHALS,3,General
PATAN,5,General
PORBANDAR,2,General
RAJKOT,2,General
SABAR KANTHA,2,General
SURAT,5,General
SURENDRANAGAR,3,General
TAPI,2,General
THE DANGS,2,General
VADODARA,2,General
VALSAD,1,General
