Location,Cluster,Caste
AHMEDABAD,5,OBC
AMRELI,5,OBC
ANAND,5,OBC
ARAVALLI,5,OBC
BANAS KANTHA,5,OBC
BHARUCH,5,OBC
BHAVNAGAR,4,OBC
BOTAD,5,OBC
CHHOTAUDEPUR,3,OBC
DEVBHOOMI DWARKA,4,OBC
DOHAD,6,OBC
GANDHINAGAR,7,OBC
GIR SOMNATH,5,OBC
JAMNAGAR,2,OBC
JUNAGADH,5,OBC
KACHCHH,5,OBC
KHEDA,5,OBC
MAHESANA,5,OBC
MAHISAGAR,5,OBC
MORBI,5,OBC
NARMADA,5,OBC
NAVSARI,5,OBC
PANCH MAHALS,5,OBC
PATAN,5,OBC
PORBANDAR,4,OBC
RAJKOT,7,OBC
SABAR KANTHA,5,OBC
SURAT,5,OBC
SURENDRANAGAR,5,OBC
TAPI,6,OBC
THE DANGS,1,OBC
VADODARA,1,OBC
VALSAD,4,OBC
