Location,Cluster,Caste
AHMEDABAD,7,OBC
AMRELI,7,OBC
ANAND,7,OBC
ARAVALLI,7,OBC
BANAS KANTHA,6,OBC
BHARUCH,7,OBC
BHAVNAGAR,7,OBC
BOTAD,7,OBC
CHHOTAUDEPUR,1,OBC
DEVBHOOMI DWARKA,6,OBC
DOHAD,5,OBC
GANDHINAGAR,4,OBC
GIR SOMNATH,7,OBC
JAMNAGAR,4,OBC
JUNAGADH,6,OBC
KACHCHH,7,OBC
KHEDA,7,OBC
MAHESANA,7,OBC
MAHISAGAR,7,OBC
MORBI,6,OBC
NARMADA,7,OBC
NAVSARI,7,OBC
PANCH MAHALS,7,OBC
PATAN,7,OBC
PORBANDAR,7,OBC
RAJKOT,4,OBC
SABAR KANTHA,7,OBC
SURAT,7,OBC
SURENDRANAGAR,7,OBC
TAPI,2,OBC
THE DANGS,3,OBC
VADODARA,1,OBC
VALSAD,5,OBC
