Location,Cluster,Caste
AHMEDABAD,3,OBC
AMRELI,3,OBC
ANAND,3,OBC
ARAVALLI,3,OBC
BANAS KANTHA,2,OBC
BHARUCH,3,OBC
BHAVNAGAR,2,OBC
BOTAD,3,OBC
CHHOTAUDEPUR,4,OBC
DEVBHOOMI DWARKA,2,OBC
DOHAD,6,OBC
GANDHINAGAR,1,OBC
GIR SOMNATH,3,OBC
JAMNAGAR,5,OBC
JUNAGADH,3,OBC
KACHCHH,3,OBC
KHEDA,3,OBC
MAHESANA,3,OBC
MAHISAGAR,3,OBC
MORBI,2,OBC
NARMADA,3,OBC
NAVSARI,3,OBC
PANCH MAHALS,3,OBC
PATAN,3,OBC
PORBANDAR,3,OBC
RAJKOT,1,OBC
SABAR KANTHA,3,OBC
SURAT,3,OBC
SURENDRANAGAR,3,OBC
TAPI,5,OBC
THE DANGS,4,OBC
VADODARA,7,OBC
VALSAD,1,OBC
