Location,Cluster,Caste
AHMEDABAD,2,OBC
AMRELI,7,OBC
ANAND,7,OBC
ARAVALLI,3,OBC
BANAS KANTHA,2,OBC
BHARUCH,4,OBC
BHAVNAGAR,3,OBC
BOTAD,2,OBC
CHHOTAUDEPUR,6,OBC
DEVBHOOMI DWARKA,6,OBC
DOHAD,4,OBC
GANDHINAGAR,3,OBC
GIR SOMNATH,2,OBC
JAMNAGAR,6,OBC
JUNAGADH,2,OBC
KACHCHH,4,OBC
KHEDA,7,OBC
MAHESANA,6,OBC
MAHISAGAR,3,OBC
MORBI,6,OBC
NARMADA,2,OBC
NAVSARI,1,OBC
PANCH MAHALS,7,OBC
PATAN,7,OBC
PORBANDAR,2,OBC
RAJKOT,7,OBC
SABAR KANTHA,2,OBC
SURAT,3,OBC
SURENDRANAGAR,7,OBC
TAPI,2,OBC
THE DANGS,4,OBC
VADODARA,5,OBC
VALSAD,1,OBC
