Location,Cluster,Caste
AHMEDABAD,6,OBC
AMRELI,1,OBC
ANAND,5,OBC
ARAVALLI,6,OBC
BANAS KANTHA,4,OBC
BHARUCH,6,OBC
BHAVNAGAR,7,OBC
BOTAD,1,OBC
CHHOTAUDEPUR,6,OBC
DEVBHOOMI DWARKA,1,OBC
DOHAD,1,OBC
GANDHINAGAR,6,OBC
GIR SOMNATH,6,OBC
JAMNAGAR,1,OBC
JUNAGADH,6,OBC
KACHCHH,1,OBC
KHEDA,1,OBC
MAHESANA,5,OBC
MAHISAGAR,6,OBC
MORBI,1,OBC
NARMADA,4,OBC
NAVSARI,7,OBC
PANCH MAHALS,5,OBC
PATAN,1,OBC
PORBANDAR,6,OBC
RAJKOT,4,OBC
SABAR KANTHA,4,OBC
SURAT,7,OBC
SURENDRANAGAR,5,OBC
TAPI,3,OBC
THE DANGS,6,OBC
VADODARA,2,OBC
VALSAD,3,OBC
