Location,Cluster,Caste
AHMEDABAD,5,OBC
AMRELI,1,OBC
ANAND,1,OBC
ARAVALLI,5,OBC
BANAS KANTHA,5,OBC
BHARUCH,1,OBC
BHAVNAGAR,6,OBC
BOTAD,1,OBC
CHHOTAUDEPUR,1,OBC
DEVBHOOMI DWARKA,1,OBC
DOHAD,2,OBC
GANDHINAGAR,5,OBC
GIR SOMNATH,5,OBC
JAMNAGAR,2,OBC
JUNAGADH,5,OBC
KACHCHH,2,OBC
KHEDA,1,OBC
MAHESANA,1,OBC
MAHISAGAR,6,OBC
MORBI,2,OBC
NARMADA,5,OBC
NAVSARI,7,OBC
PANCH MAHALS,1,OBC
PATAN,1,OBC
PORBANDAR,5,OBC
RAJKOT,4,OBC
SABAR KANTHA,5,OBC
SURAT,6,OBC
SURENDRANAGAR,4,OBC
TAPI,6,OBC
THE DANGS,1,OBC
VADODARA,3,OBC
VALSAD,7,OBC
