Location,Cluster,Caste
AHMEDABAD,6,OBC
AMRELI,4,OBC
ANAND,5,OBC
ARAVALLI,5,OBC
BANAS KANTHA,4,OBC
BHARUCH,4,OBC
BHAVNAGAR,4,OBC
BOTAD,7,OBC
CHHOTAUDEPUR,1,OBC
DEVBHOOMI DWARKA,4,OBC
DOHAD,2,OBC
GANDHINAGAR,4,OBC
GIR SOMNATH,4,OBC
JAMNAGAR,1,OBC
JUNAGADH,6,OBC
KACHCHH,2,OBC
KHEDA,7,OBC
MAHESANA,7,OBC
MAHISAGAR,5,OBC
MORBI,3,OBC
NARMADA,5,OBC
NAVSARI,7,OBC
PANCH MAHALS,6,OBC
PATAN,6,OBC
PORBANDAR,4,OBC
RAJKOT,2,OBC
SABAR KANTHA,7,OBC
SURAT,4,OBC
SURENDRANAGAR,4,OBC
TAPI,4,OBC
THE DANGS,5,OBC
VADODARA,3,OBC
VALSAD,6,OBC
