Location,Cluster,Caste
AHMEDABAD,6,OBC
AMRELI,6,OBC
ANAND,3,OBC
ARAVALLI,3,OBC
BANAS KANTHA,1,OBC
BHARUCH,5,OBC
BHAVNAGAR,6,OBC
BOTAD,5,OBC
CHHOTAUDEPUR,2,OBC
DEVBHOOMI DWARKA,7,OBC
DOHAD,1,OBC
GANDHINAGAR,7,OBC
GIR SOMNATH,7,OBC
JAMNAGAR,2,OBC
JUNAGADH,5,OBC
KACHCHH,1,OBC
KHEDA,5,OBC
MAHESANA,5,OBC
MAHISAGAR,3,OBC
MORBI,2,OBC
NARMADA,4,OBC
NAVSARI,3,OBC
PANCH MAHALS,5,OBC
PATAN,6,OBC
PORBANDAR,6,OBC
RAJKOT,1,OBC
SABAR KANTHA,3,OBC
SURAT,7,OBC
SURENDRANAGAR,1,OBC
TAPI,7,OBC
THE DANGS,6,OBC
VADODARA,2,OBC
VALSAD,5,OBC
