Location,Cluster,Caste
AHMEDABAD,1,Overall
AMRELI,1,Overall
ANAND,1,Overall
ARAVALLI,1,Overall
BANAS KANTHA,2,Overall
BHARUCH,1,Overall
BHAVNAGAR,1,Overall
BOTAD,1,Overall
CHHOTAUDEPUR,5,Overall
DEVBHOOMI DWARKA,2,Overall
DOHAD,4,Overall
GANDHINAGAR,7,Overall
GIR SOMNATH,1,Overall
JAMNAGAR,2,Overall
JUNAGADH,5,Overall
KACHCHH,1,Overall
KHEDA,1,Overall
MAHESANA,1,Overall
MAHISAGAR,1,Overall
MORBI,4,Overall
NARMADA,3,Overall
NAVSARI,2,Overall
PANCH MAHALS,1,Overall
PATAN,4,Overall
PORBANDAR,1,Overall
RAJKOT,6,Overall
SABAR KANTHA,4,Overall
SURAT,1,Overall
SURENDRANAGAR,1,Overall
TAPI,2,Overall
THE DANGS,3,Overall
VADODARA,1,Overall
VALSAD,4,Overall
