Location,Cluster,Caste
AHMEDABAD,3,Overall
AMRELI,3,Overall
ANAND,3,Overall
ARAVALLI,3,Overall
BANAS KANTHA,3,Overall
BHARUCH,3,Overall
BHAVNAGAR,3,Overall
BOTAD,3,Overall
CHHOTAUDEPUR,4,Overall
DEVBHOOMI DWARKA,5,Overall
DOHAD,6,Overall
GANDHINAGAR,7,Overall
GIR SOMNATH,3,Overall
JAMNAGAR,1,Overall
JUNAGADH,4,Overall
KACHCHH,3,Overall
KHEDA,3,Overall
MAHESANA,3,Overall
MAHISAGAR,3,Overall
MORBI,6,Overall
NARMADA,4,Overall
NAVSARI,3,Overall
PANCH MAHALS,3,Overall
PATAN,3,Overall
PORBANDAR,6,Overall
RAJKOT,2,Overall
SABAR KANTHA,5,Overall
SURAT,6,Overall
SURENDRANAGAR,5,Overall
TAPI,4,Overall
THE DANGS,1,Overall
VADODARA,3,Overall
VALSAD,6,Overall
