Location,Cluster,Caste
AHMEDABAD,1,Overall
AMRELI,6,Overall
ANAND,1,Overall
ARAVALLI,2,Overall
BANAS KANTHA,4,Overall
BHARUCH,3,Overall
BHAVNAGAR,6,Overall
BOTAD,2,Overall
CHHOTAUDEPUR,5,Overall
DEVBHOOMI DWARKA,7,Overall
DOHAD,4,Overall
GANDHINAGAR,5,Overall
GIR SOMNATH,7,Overall
JAMNAGAR,5,Overall
JUNAGADH,2,Overall
KACHCHH,5,Overall
KHEDA,3,Overall
MAHESANA,3,Overall
MAHISAGAR,2,Overall
MORBI,5,Overall
NARMADA,3,Overall
NAVSARI,1,Overall
PANCH MAHALS,6,Overall
PATAN,6,Overall
PORBANDAR,7,Overall
RAJKOT,7,Overall
SABAR KANTHA,6,Overall
SURAT,7,Overall
SURENDRANAGAR,4,Overall
TAPI,7,Overall
THE DANGS,7,Overall
VADODARA,3,Overall
VALSAD,6,Overall
