Location,Cluster,Caste
AHMEDABAD,2,Overall
AMRELI,6,Overall
ANAND,2,Overall
ARAVALLI,2,Overall
BANAS KANTHA,1,Overall
BHARUCH,2,Overall
BHAVNAGAR,7,Overall
BOTAD,4,Overall
CHHOTAUDEPUR,5,Overall
DEVBHOOMI DWARKA,7,Overall
DOHAD,4,Overall
GANDHINAGAR,1,Overall
GIR SOMNATH,7,Overall
JAMNAGAR,4,Overall
JUNAGADH,2,Overall
KACHCHH,1,Overall
KHEDA,6,Overall
MAHESANA,6,Overall
MAHISAGAR,2,Overall
MORBI,1,Overall
NARMADA,6,Overall
NAVSARI,3,Overall
PANCH MAHALS,7,Overall
PATAN,4,Overall
PORBANDAR,6,Overall
RAJKOT,7,Overall
SABAR KANTHA,6,Overall
SURAT,7,Overall
SURENDRANAGAR,1,Overall
TAPI,7,Overall
THE DANGS,6,Overall
VADODARA,6,Overall
VALSAD,6,Overall
