Location,Cluster,Caste
AHMEDABAD,3,Overall
AMRELI,5,Overall
ANAND,3,Overall
ARAVALLI,3,Overall
BANAS KANTHA,2,Overall
BHARUCH,5,Overall
BHAVNAGAR,7,Overall
BOTAD,5,Overall
CHHOTAUDEPUR,2,Overall
DEVBHOOMI DWARKA,6,Overall
DOHAD,1,Overall
GANDHINAGAR,2,Overall
GIR SOMNATH,6,Overall
JAMNAGAR,1,Overall
JUNAGADH,3,Overall
KACHCHH,2,Overall
KHEDA,5,Overall
MAHESANA,5,Overall
MAHISAGAR,3,Overall
MORBI,2,Overall
NARMADA,5,Overall
NAVSARI,4,Overall
PANCH MAHALS,7,Overall
PATAN,7,Overall
PORBANDAR,7,Overall
RAJKOT,7,Overall
SABAR KANTHA,5,Overall
SURAT,6,Overall
SURENDRANAGAR,2,Overall
TAPI,6,Overall
THE DANGS,7,Overall
VADODARA,5,Overall
VALSAD,5,Overall
