DNo,Location
11801,AGAR MALWA
11802,ALIRAJPUR
11803,ANUPPUR
11804,ASHOKNAGAR
11805,BALAGHAT
11806,BARWANI
11807,BETUL
11808,BHIND
11809,BHOPAL
11810,BURHANPUR
11811,CHHATARPUR
11812,CHHINDWARA
11813,DAMOH
11814,DATIA
11815,DEWAS
11816,DHAR
11817,DINDORI
11818,GUNA
11819,GWALIOR
11820,HARDA
11821,HOSHANGABAD
11822,INDORE
11823,JABALPUR
11824,JHABUA
11825,KATNI
11826,KHANDWA
11827,KHARGONE
11828,MANDLA
11829,MANDSAUR
11830,MORENA
11831,NARSIMHAPUR
11832,NEEMUCH
11833,NIWARI
11834,PANNA
11835,RAISEN
11836,RAJGARH
11837,RATLAM
11838,REWA
11839,SAGAR
11840,SATNA
11841,SEHORE
11842,SEONI
11843,SHAHDOL
11844,SHAJAPUR
11845,SHEOPUR
11846,SHIVPURI
11847,SIDHI
11848,SINGRAULI
11849,TIKAMGARH
11850,UJJAIN
11851,UMARIA
11852,VIDISHA
