DNo,Location
11901,AHMADNAGAR
11902,AKOLA
11903,AMRAVATI
11904,AURANGABAD (MAHARASHTRA)
11905,BHANDARA
11906,BID
11907,BULDANA
11908,CHANDRAPUR
11909,DHULE
11910,GADCHIROLI
11911,GONDIYA
11912,HINGOLI
11913,JALGAON
11914,JALNA
11915,KOLHAPUR
11916,LATUR
11918,MUMBAI II
11917,MUMBAI (SUBURBAN)
11919,NAGPUR
11920,NANDED
11921,NANDURBAR
11922,NASHIK
11923,OSMANABAD
11924,PALGHAR
11925,PARBHANI
11926,PUNE
11927,RAIGARH (MAHARASHTRA)
11928,RATNAGIRI
11929,SANGLI
11930,SATARA
11931,SINDHUDURG
11932,SOLAPUR
11933,THANE
11934,WARDHA
11935,WASHIM
11936,YAVATMAL
