Location,startingDNo,endingDNo
Andhra Pradesh,10001,10013
Assam,10201,10235
Bihar,10301,10338
Chhattisgarh,10501,10528
Dadra & Nagar Haveli & Daman & Diu,10601,10603
Delhi,10701,10713
Gujarat,10901,10933
Haryana,11001,11022
Himachal Pradesh,11101,11112
Jammu & Kashmir,11201,11220
Jharkhand,11301,11324
Karnataka,11401,11435
Kerala,11501,11514
Madhya Pradesh,11801,11852
Maharashtra,11901,11936
Manipur,12001,12016
Meghalaya,12101,12111
Mizoram,12201,12211
Nagaland,12301,12311
Odisha,12401,12430
Puducherry,12501,12504
Punjab,12601,12623
Rajasthan,12701,12733
Sikkim,12801,12806
Tamil Nadu,12901,12937
Telangana,13001,13033
Tripura,13101,13108
Uttar Pradesh,13201,13275
Uttarakhand,13301,13313
West Bengal,13401,13424
