DNo,District,Social Category,Income,prim_Girls,prim_Boys,prim_Overall,upPrim_Girls,upPrim_Boys,upPrim_Overall,snr_Girls,snr_Boys,snr_Overall
10001,ANANTAPUR,General,High,0.0,0.0,0.0,0.0,0.17,0.0,9.55,15.21,12.49
10001,ANANTAPUR,OBC,High,0.78,2.3,1.59,2.46,2.45,2.46,24.56,22.04,23.26
10001,ANANTAPUR,SC,High,0.0,0.23,0.0,1.24,2.01,1.64,17.97,19.13,18.56
10001,ANANTAPUR,ST,High,0.0,0.05,0.0,2.2,2.94,2.58,12.67,21.03,17.09
10001,ANANTAPUR,Overall,High,0.0,0.95,0.31,1.56,2.0,1.79,20.15,20.24,20.19
10002,CHITTOOR,General,High,0.0,0.0,0.0,0.0,0.27,0.0,1.89,6.37,4.28
10002,CHITTOOR,OBC,High,0.0,0.0,0.0,0.15,0.1,0.13,11.42,10.18,10.77
10002,CHITTOOR,SC,High,0.0,0.0,0.0,0.97,0.51,0.73,8.45,10.7,9.6
10002,CHITTOOR,ST,High,0.0,0.0,0.0,4.08,4.91,4.51,3.63,11.66,7.78
10002,CHITTOOR,Overall,High,0.0,0.0,0.0,0.3,0.48,0.4,8.14,9.38,8.79
10003,EASTGODAVARI,General,High,0.0,0.0,0.0,0.37,1.52,0.96,13.06,18.32,15.75
10003,EASTGODAVARI,OBC,High,0.0,0.0,0.0,0.61,1.2,0.91,15.17,19.24,17.22
10003,EASTGODAVARI,SC,High,0.0,0.0,0.0,1.17,1.44,1.31,11.08,16.04,13.54
10003,EASTGODAVARI,ST,High,0.0,1.89,0.91,5.25,7.98,6.62,12.62,12.52,12.57
10003,EASTGODAVARI,Overall,High,0.0,0.0,0.0,0.99,1.8,1.41,13.52,17.93,15.74
10004,GUNTUR,General,High,0.0,0.0,0.0,0.84,0.75,0.8,15.96,14.0,14.91
10004,GUNTUR,OBC,High,0.33,1.17,0.77,1.92,1.5,1.7,19.58,19.03,19.29
10004,GUNTUR,SC,High,0.0,0.0,0.0,1.34,1.38,1.36,14.39,17.34,15.9
10004,GUNTUR,ST,High,1.18,2.57,1.91,6.27,5.7,5.97,15.85,14.25,15.01
10004,GUNTUR,Overall,High,0.0,0.38,0.0,1.75,1.52,1.63,17.01,16.74,16.87
10005,KADAPA,General,High,0.0,0.0,0.0,0.0,0.0,0.0,13.1,20.67,17.06
10005,KADAPA,OBC,High,0.0,0.5,0.23,5.42,4.27,4.83,25.65,27.57,26.64
10005,KADAPA,SC,High,0.0,0.0,0.0,1.97,2.1,2.04,15.18,18.0,16.62
10005,KADAPA,ST,High,0.0,0.0,0.0,7.32,2.92,5.01,26.5,22.94,24.69
10005,KADAPA,Overall,High,0.0,0.0,0.0,2.09,2.53,2.32,19.9,23.53,21.78
10006,KRISHNA,General,High,0.0,0.0,0.0,0.0,0.0,0.0,20.58,23.51,22.17
10006,KRISHNA,OBC,High,0.0,0.0,0.0,0.0,0.08,0.0,24.11,25.05,24.59
10006,KRISHNA,SC,High,0.0,0.0,0.0,0.13,1.87,1.02,19.11,21.85,20.51
10006,KRISHNA,ST,High,0.0,0.0,0.0,3.49,5.02,4.28,23.55,20.72,22.12
10006,KRISHNA,Overall,High,0.0,0.0,0.0,0.0,0.31,0.11,21.94,23.73,22.87
10007,KURNOOL,General,High,0.0,0.0,0.0,0.0,0.0,0.0,10.62,13.15,12.0
10007,KURNOOL,OBC,High,1.69,2.7,2.24,6.93,5.85,6.36,24.53,24.01,24.25
10007,KURNOOL,SC,High,0.0,0.0,0.0,3.57,3.46,3.52,13.39,17.72,15.64
10007,KURNOOL,ST,High,0.0,0.0,0.0,7.16,1.62,4.26,11.06,0.0,4.73
10007,KURNOOL,Overall,High,0.0,0.0,0.0,4.71,4.05,4.37,19.73,20.45,20.11
10008,NELLORE,General,High,0.0,0.0,0.0,0.0,0.0,0.0,7.37,7.01,7.18
10008,NELLORE,OBC,High,0.0,0.0,0.0,1.35,1.08,1.21,14.14,15.6,14.9
10008,NELLORE,SC,High,0.0,0.0,0.0,1.11,1.95,1.54,11.09,16.02,13.62
10008,NELLORE,ST,High,3.36,4.86,4.12,16.22,15.25,15.73,28.26,29.08,28.67
10008,NELLORE,Overall,High,0.0,0.0,0.0,2.64,2.52,2.58,12.94,14.78,13.9
10009,PRAKASAM,General,High,0.0,0.09,0.0,0.56,1.82,1.22,21.24,25.7,23.55
10009,PRAKASAM,OBC,High,0.0,0.7,0.16,2.19,1.97,2.08,24.5,24.57,24.54
10009,PRAKASAM,SC,High,0.0,0.0,0.0,3.02,3.6,3.31,19.42,20.22,19.83
10009,PRAKASAM,ST,High,2.57,4.59,3.63,13.25,13.97,13.62,13.61,20.45,17.13
10009,PRAKASAM,Overall,High,0.0,0.44,0.0,2.61,3.01,2.82,21.73,23.55,22.67
10010,SRIKAKULAM,General,High,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0
10010,SRIKAKULAM,OBC,High,0.0,0.0,0.0,0.14,0.23,0.18,14.34,17.69,16.05
10010,SRIKAKULAM,SC,High,0.0,0.0,0.0,3.75,0.0,1.84,10.76,11.98,11.38
10010,SRIKAKULAM,ST,High,0.0,0.05,0.0,0.77,3.39,2.14,16.2,10.57,13.46
10010,SRIKAKULAM,Overall,High,0.0,0.0,0.0,0.34,0.46,0.41,10.81,13.22,12.04
10011,VISAKHAPATNAM,General,High,0.0,0.0,0.0,3.73,2.22,2.92,21.66,21.34,21.49
10011,VISAKHAPATNAM,OBC,High,0.0,0.0,0.0,0.0,0.0,0.0,2.17,8.85,5.66
10011,VISAKHAPATNAM,SC,High,0.0,0.0,0.0,0.0,0.67,0.04,4.24,10.94,7.65
10011,VISAKHAPATNAM,ST,High,1.99,2.83,2.42,4.28,6.17,5.26,6.24,12.64,9.42
10011,VISAKHAPATNAM,Overall,High,0.0,0.0,0.0,0.9,0.83,0.87,7.6,12.61,10.2
10012,VIZIANAGARAM,General,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10012,VIZIANAGARAM,OBC,High,0.3,2.12,1.25,1.05,2.04,1.56,11.97,17.82,14.94
10012,VIZIANAGARAM,SC,High,0.0,0.0,0.0,0.59,0.65,0.62,1.22,0.79,1.01
10012,VIZIANAGARAM,ST,High,0.0,0.12,0.03,2.57,4.31,3.48,0.0,0.0,0.0
10012,VIZIANAGARAM,Overall,High,0.0,0.68,0.05,1.0,1.56,1.29,6.47,9.46,7.98
