State,DNo,Location,Social Category,Income,dropout,prim_Girls_social_category,prim_Girls_income,prim_Boys_social_category,prim_Boys_income,prim_Overall_social_category,prim_Overall_income,upPrim_Girls_social_category,upPrim_Girls_income,upPrim_Boys_social_category,upPrim_Boys_income,upPrim_Overall_social_category,upPrim_Overall_income,snr_Girls_social_category,snr_Girls_income,snr_Boys_social_category,snr_Boys_income,snr_Overall_social_category,snr_Overall_income
ANDHRA PRADESH,10001,ANANTAPUR,General,High,0,85.27885675,14.72114325,2.268161997,97.73183465,49.92816448,50.07182956,0.297742942,99.70225692,0.027116912,99.97288585,0.093814021,99.90618825,0.002200745,99.99779463,0.00022449,99.9997735,0.000417804,99.99958277
ANDHRA PRADESH,10001,ANANTAPUR,OBC,High,0,86.78786159,13.21213245,79.34147567,20.65852284,84.20865685,15.79134464,73.28335345,26.71664357,77.26988643,22.73010612,80.24390489,19.7560966,71.49957716,28.50041986,86.15782112,13.84217739,80.8986783,19.1013217
ANDHRA PRADESH,10001,ANANTAPUR,SC,High,0,79.63464111,20.3653574,27.19693482,72.80306816,52.39748955,47.60251045,0.107410667,99.89258647,0.026674048,99.97332692,0.075635756,99.92436171,0.00021877,99.99978542,4.73E-05,99.99995232,5.15E-07,100
ANDHRA PRADESH,10001,ANANTAPUR,ST,High,0,83.42007101,16.57993197,82.84777403,17.15222597,83.09198916,16.90801382,2.402739041,97.59726524,1.904261485,98.09573889,3.357334808,96.64266109,0.015852417,99.98414516,0.054089015,99.94590878,0.025284855,99.97470975
ANDHRA PRADESH,10001,ANANTAPUR,Overall,High,0,86.23487353,13.76512051,81.2612325,18.73877048,84.13024694,15.86975455,15.55865556,84.44135189,18.70400757,81.29599094,22.79539406,77.20460892,0.481353607,99.51865077,0.073787075,99.92621541,0.081055652,99.91894364
ANDHRA PRADESH,10002,CHITTOOR,General,High,0,81.92795664,18.07204485,76.44387186,23.55613112,78.39024067,21.60975933,0.467849942,99.53214526,0.041465159,99.95853305,0.13012964,99.86987114,0.008205748,99.9917984,0.003934124,99.99606609,0.000388865,99.99960661
ANDHRA PRADESH,10002,CHITTOOR,OBC,High,0,87.30406612,12.69593239,52.25201845,47.74798155,84.28528309,15.71471691,30.87362647,69.12636757,36.72547042,63.2745266,46.46990299,53.53010297,60.38438082,39.61562514,64.49348032,35.5065167,52.45061517,47.54938483
ANDHRA PRADESH,10002,CHITTOOR,SC,High,1,1.193603128,98.80639911,3.708500788,96.29149437,2.255872637,97.74412513,0.024636742,99.9753654,0.033768342,99.96622801,0.048164104,99.95183945,0.019912787,99.98008609,0.038589988,99.96141195,0.006667194,99.9933362
ANDHRA PRADESH,10002,CHITTOOR,ST,High,0,62.36277819,37.63722181,65.65225124,34.3477428,62.76397109,37.23602891,0.023213595,99.97678399,0.022080058,99.97791648,0.077551295,99.92244244,0.052357587,99.94764924,0.02005627,99.97994304,0.007825426,99.99217987
ANDHRA PRADESH,10002,CHITTOOR,Overall,High,0,86.78786159,13.21213245,79.34147567,20.65852284,84.20865685,15.79134464,73.28335345,26.71664357,77.26988643,22.73010612,80.24390489,19.7560966,0.015518068,99.98447895,2.44E-05,99.99997616,1.71E-06,100
ANDHRA PRADESH,10003,EASTGODAVARI,General,High,0,87.81744987,12.18255162,79.20586467,20.79414129,82.50156641,17.49843359,74.06021953,25.93978047,77.45562643,22.54437804,80.99277169,19.00722384,4.874299467,95.125705,0.626639184,99.37335849,0.626709266,99.37328696
ANDHRA PRADESH,10003,EASTGODAVARI,OBC,High,1,0.408551795,99.59145188,0.947319902,99.05267954,0.467999885,99.53200221,0.000687361,99.99930859,0.016513409,99.98348951,0.015744813,99.98425245,4.056430981,95.94356418,1.175325364,98.82467389,1.576884277,98.4231174
ANDHRA PRADESH,10003,EASTGODAVARI,SC,High,0,86.78786159,13.21213245,79.34147567,20.65852284,84.20865685,15.79134464,73.28335345,26.71664357,77.26988643,22.73010612,80.24390489,19.7560966,71.49957716,28.50041986,12.45908514,87.54091263,63.33820224,36.66180372
ANDHRA PRADESH,10003,EASTGODAVARI,ST,High,1,0.179308583,99.82068539,0.044492143,99.95550513,0.227556867,99.77244735,0.002416291,99.99758005,0.006377968,99.9936223,0.015459419,99.98453856,0.006400359,99.99359846,0.001576674,99.99842644,0.000175603,99.99982119
ANDHRA PRADESH,10003,EASTGODAVARI,Overall,High,0,86.78786159,13.21213245,79.34147567,20.65852284,84.20865685,15.79134464,73.28335345,26.71664357,24.91925061,75.08075237,56.24282956,43.75717044,69.73591745,30.26408553,4.272016138,95.7279861,23.73675406,76.26324892
