DNo,Location,Social Category,Income,fact_socialcat,fact_income
10001,ANANTAPUR,General,High,2.409838e-05,99.99998
10001,ANANTAPUR,SC,High,1.5300958e-07,100.0
10001,ANANTAPUR,ST,High,0.0002975993,99.9997
10001,ANANTAPUR,Overall,High,0.0034319707,99.99657
10002,CHITTOOR,General,High,1.9461657e-05,99.99998
10002,CHITTOOR,OBC,High,2.7019937,97.29801
10002,CHITTOOR,SC,High,5.1748782e-05,99.999954
10002,CHITTOOR,ST,High,0.00017914218,99.999825
10002,CHITTOOR,Overall,High,1.785837e-06,100.0
10003,EASTGODAVARI,General,High,0.0035513483,99.996445
10003,EASTGODAVARI,OBC,High,0.07040939,99.92958
10003,EASTGODAVARI,SC,High,13.624944,86.37506
10003,EASTGODAVARI,ST,High,1.3433906e-05,99.999985
10003,EASTGODAVARI,Overall,High,2.152559,97.84744
10004,GUNTUR,General,High,9.197927e-05,99.99991
10004,GUNTUR,OBC,High,0.46703002,99.532974
10004,GUNTUR,SC,High,3.866e-05,99.99996
10004,GUNTUR,ST,High,0.000369718,99.99963
10004,GUNTUR,Overall,High,5.585429e-06,100.0
10005,KADAPA,General,High,0.25360495,99.74639
10005,KADAPA,OBC,High,0.0009910859,99.99901
10005,KADAPA,SC,High,0.00014330192,99.999855
10005,KADAPA,ST,High,0.00017308994,99.999825
10005,KADAPA,Overall,High,0.0003431011,99.99966
10006,KRISHNA,General,High,1.8026474e-05,99.99998
10006,KRISHNA,OBC,High,3.5772593e-06,100.0
10006,KRISHNA,SC,High,0.0008186183,99.999176
10006,KRISHNA,ST,High,9.601912e-05,99.99991
10006,KRISHNA,Overall,High,9.5287905e-06,99.999985
10007,KURNOOL,General,High,0.43014792,99.569855
10007,KURNOOL,ST,High,8.3393825e-05,99.999916
10007,KURNOOL,Overall,High,3.4300323e-05,99.99996
10008,NELLORE,General,High,1.0532433e-05,99.999985
10008,NELLORE,OBC,High,0.0028861,99.997116
10008,NELLORE,SC,High,0.0028287873,99.99718
10008,NELLORE,Overall,High,26.87351,73.12649
10009,PRAKASAM,General,High,6.478296e-05,99.99994
10009,PRAKASAM,OBC,High,0.0002915011,99.99971
10009,PRAKASAM,Overall,High,5.3930073e-08,100.0
10010,SRIKAKULAM,General,High,0.046351265,99.95365
10010,SRIKAKULAM,OBC,High,9.3412586e-05,99.99991
10010,SRIKAKULAM,Overall,High,19.605371,80.39463
10011,VISAKHAPATNAM,General,High,0.0077888193,99.99222
10011,VISAKHAPATNAM,OBC,High,1.0665351e-05,99.999985
10011,VISAKHAPATNAM,SC,High,9.138222,90.86177
10011,VISAKHAPATNAM,ST,High,6.5926633e-06,99.999985
10012,VIZIANAGARAM,General,High,2.7087863e-08,100.0
10012,VIZIANAGARAM,OBC,High,3.311273,96.68873
10012,VIZIANAGARAM,SC,High,0.0017743998,99.99822
10012,VIZIANAGARAM,ST,High,0.030369874,99.969635
