"District Name","Total Households","Number of Households with Salaried Job","% of Households with Salaried Job","Government  Sector","% Government  Sector","Public Sector","% Public Sector","Private Sector","% Private Sector","Number of Households Pay Income Tax or Professional Tax","Number of Households Own/Operate an Enterprise registered with the Government","Less than Rs. 5,000","% Less than Rs. 5,000","Between Rs. 5,000 and Rs 10,000","% Between Rs. 5,000 and Rs 10,000","Rs. 10,000 or more","% Rs. 10,000 or more"
"All India Total","179787454","17340999","9.65%","8994054","5%","2016399","1.12%","6415270","3.57%","8220522","4896989","133985215","74.52%","30894589","17.18%","14828438","8.25%"
"UT Zone Total","1338560","791604","59.14%","137225","10.25%","93946","7.02%","560573","41.88%","216570","223027","480016","35.86%","507298","37.9%","351244","26.24%"
"State Total","1051097","663600","63.13%","98213","9.34%","86466","8.23%","478921","45.56%","186173","205428","307524","29.26%","443975","42.24%","299598","28.5%"
"North West (01)","299316","193870","64.77%","26090","8.72%","32068","10.71%","135712","45.34%","44112","52672","93370","31.19%","126032","42.11%","79914","26.7%"
"North (02)","51632","38566","74.69%","6457","12.51%","3418","6.62%","28691","55.57%","9257","8246","14243","27.59%","22689","43.94%","14700","28.47%"
"North East (03)","194939","76468","39.23%","15718","8.06%","11488","5.89%","49262","25.27%","37596","60636","81538","41.83%","64081","32.87%","49320","25.3%"
"East (04)","93117","54183","58.19%","6769","7.27%","10063","10.81%","37351","40.11%","18698","22412","15740","16.9%","39110","42%","38267","41.1%"
"West (07)","124338","84195","67.71%","12332","9.92%","13246","10.65%","58617","47.14%","24417","24633","34196","27.5%","54678","43.98%","35464","28.52%"
"South West (08)","112653","77325","68.64%","20773","18.44%","6091","5.41%","50461","44.79%","25361","15290","20229","17.96%","53084","47.12%","39340","34.92%"
"South (09)","175102","138993","79.38%","10074","5.75%","10092","5.76%","118827","67.86%","26732","21539","48208","27.53%","84301","48.14%","42593","24.32%"
