"District Name","Total Households","Number of Households with Salaried Job","% of Households with Salaried Job","Government  Sector","% Government  Sector","Public Sector","% Public Sector","Private Sector","% Private Sector","Number of Households Pay Income Tax or Professional Tax","Number of Households Own/Operate an Enterprise registered with the Government","Less than Rs. 5,000","% Less than Rs. 5,000","Between Rs. 5,000 and Rs 10,000","% Between Rs. 5,000 and Rs 10,000","Rs. 10,000 or more","% Rs. 10,000 or more"
"All India Total","179787454","17340999","9.65%","8994054","5%","2016399","1.12%","6415270","3.57%","8220522","4896989","133985215","74.52%","30894589","17.18%","14828438","8.25%"
"Central Zone Total","43325279","3403785","7.86%","1830255","4.22%","504151","1.16%","1075598","2.48%","1172431","873318","33120450","76.45%","7091140","16.37%","3088903","7.13%"
"State Total","11288946","569872","5.05%","403918","3.58%","61471","0.54%","104496","0.93%","223837","92564","9424603","83.49%","1274665","11.29%","589600","5.22%"
"Sheopur (01)","128523","3302","2.57%","2668","2.08%","111","0.09%","523","0.41%","826","872","106325","82.73%","15757","12.26%","6441","5.01%"
"Morena (02)","286442","17021","5.94%","12900","4.5%","1786","0.62%","2335","0.82%","7848","5407","201006","70.17%","61672","21.53%","23764","8.3%"
"Bhind (03)","196355","14061","7.16%","9770","4.98%","1025","0.52%","3266","1.66%","7474","4999","121858","62.06%","46554","23.71%","27943","14.23%"
"Gwalior (04)","150590","6970","4.63%","4999","3.32%","813","0.54%","1158","0.77%","3076","1599","106517","70.73%","31290","20.78%","12783","8.49%"
"Datia (05)","128413","4847","3.77%","4351","3.39%","230","0.18%","266","0.21%","2102","790","95492","74.36%","22258","17.33%","10663","8.3%"
"Shivpuri (06)","281595","6880","2.44%","5721","2.03%","323","0.11%","836","0.3%","2613","1701","235171","83.51%","33193","11.79%","13231","4.7%"
"Tikamgarh (07)","261692","9032","3.45%","7628","2.91%","682","0.26%","722","0.28%","4021","2299","216146","82.6%","34647","13.24%","10899","4.16%"
"Chhatarpur (08)","283889","8435","2.97%","6802","2.4%","534","0.19%","1099","0.39%","3387","2245","238833","84.13%","35051","12.35%","10005","3.52%"
"Panna (09)","207410","7954","3.83%","7104","3.43%","317","0.15%","533","0.26%","3554","1534","186461","89.9%","14974","7.22%","5975","2.88%"
"Sagar (10)","400201","18138","4.53%","13097","3.27%","2453","0.61%","2590","0.65%","7292","2244","350868","87.67%","33409","8.35%","15924","3.98%"
"Damoh (11)","254708","7972","3.13%","6002","2.36%","515","0.2%","1455","0.57%","3030","1435","228564","89.74%","18569","7.29%","7575","2.97%"
"Satna (12)","395489","28299","7.16%","19126","4.84%","3900","0.99%","5273","1.33%","10025","4198","325537","82.31%","46198","11.68%","23754","6.01%"
"Rewa (13)","451926","53766","11.9%","38536","8.53%","7146","1.58%","8084","1.79%","18084","6318","319836","70.77%","82577","18.27%","49512","10.96%"
"Umaria (14)","119054","7802","6.55%","5925","4.98%","1124","0.94%","753","0.63%","4390","1076","105108","88.29%","7627","6.41%","6319","5.31%"
"Neemuch (15)","127034","5817","4.58%","3716","2.93%","250","0.2%","1851","1.46%","2422","512","108847","85.68%","13167","10.36%","5020","3.95%"
"Mandsaur (16)","232520","8499","3.66%","6313","2.72%","653","0.28%","1533","0.66%","2697","990","203523","87.53%","21652","9.31%","7345","3.16%"
