"District Name","Total Households","Number of Households with Salaried Job","% of Households with Salaried Job","Government  Sector","% Government  Sector","Public Sector","% Public Sector","Private Sector","% Private Sector","Number of Households Pay Income Tax or Professional Tax","Number of Households Own/Operate an Enterprise registered with the Government","Less than Rs. 5,000","% Less than Rs. 5,000","Between Rs. 5,000 and Rs 10,000","% Between Rs. 5,000 and Rs 10,000","Rs. 10,000 or more","% Rs. 10,000 or more"
"All India Total","179787454","17340999","9.65%","8994054","5%","2016399","1.12%","6415270","3.57%","8220522","4896989","133985215","74.52%","30894589","17.18%","14828438","8.25%"
"North Eastern Zone Total","8061458","1081787","13.42%","741744","9.2%","68841","0.85%","273031","3.39%","604791","271708","6121734","75.94%","1183955","14.69%","754967","9.37%"
"State Total","448163","85610","19.1%","68038","15.18%","3150","0.7%","14428","3.22%","35307","7907","290868","64.9%","90333","20.16%","66952","14.94%"
"Senapati (01)","93129","13165","14.14%","9273","9.96%","753","0.81%","3139","3.37%","2735","1749","63052","67.7%","20213","21.7%","9864","10.59%"
"Tamenglong (02)","25878","3509","13.56%","2914","11.26%","88","0.34%","507","1.96%","1962","363","16956","65.52%","5866","22.67%","3056","11.81%"
"Churachandpur (03)","53252","9468","17.78%","7469","14.03%","292","0.55%","1707","3.21%","3384","556","30967","58.15%","14433","27.1%","7852","14.74%"
"Bishnupur (04)","29107","5775","19.84%","4809","16.52%","187","0.64%","779","2.68%","4268","1071","20255","69.59%","4413","15.16%","4439","15.25%"
"Thoubal (05)","56089","9825","17.52%","8515","15.18%","282","0.5%","1030","1.84%","3569","850","38766","69.12%","9563","17.05%","7760","13.84%"
"ImphalWest (06)","52166","12988","24.9%","10420","19.97%","348","0.67%","2220","4.26%","6393","1283","33009","63.28%","8749","16.77%","10406","19.95%"
"ImphalEast (07)","71558","18112","25.31%","13982","19.54%","750","1.05%","3384","4.73%","9568","1544","44208","61.78%","13727","19.18%","13615","19.03%"
"Ukhrul (08)","39237","7656","19.51%","6035","15.38%","324","0.83%","1297","3.31%","2237","318","26389","67.26%","7182","18.3%","5666","14.44%"
"Chandel (09)","27747","5112","18.42%","4621","16.65%","126","0.45%","365","1.32%","1191","173","17266","62.23%","6187","22.3%","4294","15.48%"
