"District Name","Total Households","Number of Households with Salaried Job","% of Households with Salaried Job","Government  Sector","% Government  Sector","Public Sector","% Public Sector","Private Sector","% Private Sector","Number of Households Pay Income Tax or Professional Tax","Number of Households Own/Operate an Enterprise registered with the Government","Less than Rs. 5,000","% Less than Rs. 5,000","Between Rs. 5,000 and Rs 10,000","% Between Rs. 5,000 and Rs 10,000","Rs. 10,000 or more","% Rs. 10,000 or more"
"All India Total","179787454","17340999","9.65%","8994054","5%","2016399","1.12%","6415270","3.57%","8220522","4896989","133985215","74.52%","30894589","17.18%","14828438","8.25%"
"North Eastern Zone Total","8061458","1081787","13.42%","741744","9.2%","68841","0.85%","273031","3.39%","604791","271708","6121734","75.94%","1183955","14.69%","754967","9.37%"
"State Total","485897","61870","12.73%","43677","8.99%","4583","0.94%","13832","2.85%","31071","10943","363652","74.84%","77847","16.02%","44393","9.14%"
"West Garo Hills (01)","111580","10557","9.46%","8540","7.65%","784","0.7%","1233","1.11%","7593","4676","92727","83.1%","11902","10.67%","6951","6.23%"
"East Garo Hills (02)","52635","3640","6.92%","3092","5.87%","325","0.62%","354","0.67%","2185","1191","45056","85.6%","5039","9.57%","2540","4.83%"
"South Garo Hills (03)","22236","1933","8.69%","1477","6.64%","238","1.07%","218","0.98%","945","474","17060","76.72%","4115","18.51%","1061","4.77%"
"West Khasi Hills (04)","59268","4579","7.73%","3008","5.08%","598","1.01%","980","1.65%","2412","706","45919","77.48%","9641","16.27%","3703","6.25%"
"Ribhoi (05)","45228","4299","9.51%","3054","6.75%","442","0.98%","817","1.81%","1853","775","34190","75.59%","7882","17.43%","3156","6.98%"
"East Khasi Hills (06)","128947","32002","24.82%","20942","16.24%","1841","1.43%","9263","7.18%","13523","1851","87780","68.07%","20170","15.64%","20997","16.28%"
"Jaintia Hills (07)","66003","4860","7.36%","3564","5.4%","355","0.54%","967","1.47%","2560","1270","40920","62%","19098","28.94%","5985","9.07%"
