"District Name","Total Households","Number of Households with Salaried Job","% of Households with Salaried Job","Government  Sector","% Government  Sector","Public Sector","% Public Sector","Private Sector","% Private Sector","Number of Households Pay Income Tax or Professional Tax","Number of Households Own/Operate an Enterprise registered with the Government","Less than Rs. 5,000","% Less than Rs. 5,000","Between Rs. 5,000 and Rs 10,000","% Between Rs. 5,000 and Rs 10,000","Rs. 10,000 or more","% Rs. 10,000 or more"
"All India Total","179787454","17340999","9.65%","8994054","5%","2016399","1.12%","6415270","3.57%","8220522","4896989","133985215","74.52%","30894589","17.18%","14828438","8.25%"
"North Eastern Zone Total","8061458","1081787","13.42%","741744","9.2%","68841","0.85%","273031","3.39%","604791","271708","6121734","75.94%","1183955","14.69%","754967","9.37%"
"State Total","111626","17770","15.92%","11057","9.91%","1106","0.99%","5646","5.06%","11062","3774","85974","77.02%","14777","13.24%","10875","9.74%"
"Mamit (01)","15169","2012","13.26%","1619","10.67%","52","0.34%","345","2.27%","1554","580","11465","75.58%","2341","15.43%","1363","8.99%"
"Kolasib (02)","7353","1055","14.35%","845","11.49%","56","0.76%","156","2.12%","781","323","5467","74.35%","1127","15.33%","759","10.32%"
"Aizawl (03)","17557","4687","26.7%","2201","12.54%","204","1.16%","2293","13.06%","2224","564","12150","69.2%","3214","18.31%","2193","12.49%"
"Champhai (04)","15250","2286","14.99%","1457","9.55%","76","0.5%","759","4.98%","1794","468","12196","79.97%","1656","10.86%","1398","9.17%"
"Serchhip (05)","6359","1121","17.63%","664","10.44%","111","1.75%","348","5.47%","595","222","4629","72.79%","935","14.7%","795","12.5%"
"Lunglei (06)","19733","2904","14.72%","2031","10.29%","134","0.68%","746","3.78%","1392","427","15905","80.6%","1872","9.49%","1956","9.91%"
"Lawngtlai (07)","23173","2306","9.95%","1426","6.15%","394","1.7%","491","2.12%","1912","903","18992","81.96%","2533","10.93%","1648","7.11%"
"Saiha (08)","7032","1399","19.89%","814","11.58%","79","1.12%","508","7.22%","810","287","5170","73.52%","1099","15.63%","763","10.85%"
