"District Name","Total Households","Number of Households with Salaried Job","% of Households with Salaried Job","Government  Sector","% Government  Sector","Public Sector","% Public Sector","Private Sector","% Private Sector","Number of Households Pay Income Tax or Professional Tax","Number of Households Own/Operate an Enterprise registered with the Government","Less than Rs. 5,000","% Less than Rs. 5,000","Between Rs. 5,000 and Rs 10,000","% Between Rs. 5,000 and Rs 10,000","Rs. 10,000 or more","% Rs. 10,000 or more"
"All India Total","179787454","17340999","9.65%","8994054","5%","2016399","1.12%","6415270","3.57%","8220522","4896989","133985215","74.52%","30894589","17.18%","14828438","8.25%"
"North Eastern Zone Total","8061458","1081787","13.42%","741744","9.2%","68841","0.85%","273031","3.39%","604791","271708","6121734","75.94%","1183955","14.69%","754967","9.37%"
"State Total","284310","63505","22.34%","52448","18.45%","2527","0.89%","8544","3.01%","36550","5748","198496","69.82%","42314","14.88%","43495","15.3%"
"Mon (01)","35445","3490","9.85%","3030","8.55%","84","0.24%","376","1.06%","3231","809","30604","86.34%","2924","8.25%","1917","5.41%"
"Mokokchung (02)","30620","7720","25.21%","6478","21.16%","274","0.89%","973","3.18%","3384","244","18210","59.47%","6526","21.31%","5884","19.22%"
"Zunheboto (03)","23617","7133","30.2%","6213","26.31%","295","1.25%","626","2.65%","5481","427","14753","62.47%","3889","16.47%","4970","21.04%"
"Wokha (04)","24530","5523","22.52%","4593","18.72%","318","1.3%","612","2.49%","3813","667","17559","71.58%","3169","12.92%","3802","15.5%"
"Dimapur  (05)","41147","14519","35.29%","10256","24.93%","877","2.13%","3386","8.23%","5837","829","21070","51.21%","9416","22.88%","10661","25.91%"
"Phek (06)","30807","6647","21.58%","5803","18.84%","141","0.46%","703","2.28%","4263","644","22570","73.26%","3924","12.74%","4313","14%"
"Tuensang (07)","29744","3721","12.51%","3396","11.42%","83","0.28%","248","0.83%","2569","303","25237","84.85%","2264","7.61%","2243","7.54%"
"Longleng (08)","10934","794","7.26%","668","6.11%","30","0.27%","96","0.88%","370","655","9080","83.04%","1424","13.02%","430","3.93%"
"Kiphire (09)","12983","1788","13.77%","1605","12.36%","85","0.65%","99","0.76%","1057","101","11459","88.26%","790","6.08%","734","5.65%"
"Kohima (10)","29305","10317","35.21%","8854","30.21%","269","0.92%","1194","4.07%","5545","947","15965","54.48%","6198","21.15%","7142","24.37%"
"Peren (11)","15178","1853","12.21%","1552","10.23%","71","0.47%","231","1.52%","1000","122","11989","78.99%","1790","11.79%","1399","9.22%"
