DNo,Location,Social Category,Income,dropout,prim_Boys_social_category,prim_Boys_income
10001,ANANTAPUR,General,High,0,76.72200351953506,23.277997970581055
10001,ANANTAPUR,OBC,High,1,9.400180727243423,90.5998170375824
10001,ANANTAPUR,SC,High,0,68.66253614425659,31.337463855743408
10001,ANANTAPUR,ST,High,0,76.17326229810715,23.826736211776733
10001,ANANTAPUR,Overall,High,1,38.741591572761536,61.25839948654175
10002,CHITTOOR,General,High,0,76.72200351953506,23.277997970581055
10002,CHITTOOR,OBC,High,0,75.98847150802612,24.0115225315094
10002,CHITTOOR,SC,High,0,75.51307380199432,24.486929178237915
10002,CHITTOOR,ST,High,0,77.49419510364532,22.505801916122437
10002,CHITTOOR,Overall,High,0,72.18186259269714,27.818137407302856
10003,EASTGODAVARI,General,High,0,76.72200351953506,23.277997970581055
10003,EASTGODAVARI,OBC,High,0,75.98847150802612,24.0115225315094
10003,EASTGODAVARI,SC,High,0,75.51307380199432,24.486929178237915
10003,EASTGODAVARI,ST,High,1,17.230547964572906,82.76945352554321
10003,EASTGODAVARI,Overall,High,0,72.18186259269714,27.818137407302856
10004,GUNTUR,General,High,0,76.72200351953506,23.277997970581055
10004,GUNTUR,OBC,High,1,35.742512345314026,64.25748467445374
10004,GUNTUR,SC,High,0,75.51307380199432,24.486929178237915
10004,GUNTUR,ST,High,1,7.051070034503937,92.9489254951477
10004,GUNTUR,Overall,High,0,59.59998965263367,40.40001034736633
10005,KADAPA,General,High,0,76.72200351953506,23.277997970581055
10005,KADAPA,OBC,High,0,60.08610129356384,39.91389870643616
10005,KADAPA,SC,High,0,75.51307380199432,24.486929178237915
10005,KADAPA,ST,High,0,77.49419510364532,22.505801916122437
10005,KADAPA,Overall,High,0,72.18186259269714,27.818137407302856
10006,KRISHNA,General,High,0,76.72200351953506,23.277997970581055
10006,KRISHNA,OBC,High,0,75.98847150802612,24.0115225315094
10006,KRISHNA,SC,High,0,75.51307380199432,24.486929178237915
10006,KRISHNA,ST,High,0,77.49419510364532,22.505801916122437
10006,KRISHNA,Overall,High,0,72.18186259269714,27.818137407302856
10007,KURNOOL,General,High,0,76.72200202941895,23.277997970581055
10007,KURNOOL,OBC,High,1,5.416063964366913,94.58394050598145
10007,KURNOOL,SC,High,0,75.51307380199432,24.486929178237915
10007,KURNOOL,ST,High,0,77.49419510364532,22.505801916122437
10007,KURNOOL,Overall,High,0,72.18186259269714,27.818137407302856
10008,NELLORE,General,High,0,76.72200351953506,23.277997970581055
10008,NELLORE,OBC,High,0,75.98847150802612,24.0115225315094
10008,NELLORE,SC,High,0,75.51307380199432,24.486929178237915
10008,NELLORE,ST,High,1,0.25343243032693863,99.746572971344
10008,NELLORE,Overall,High,0,72.18186259269714,27.818137407302856
10009,PRAKASAM,General,High,0,74.2488145828247,25.751185417175293
10009,PRAKASAM,OBC,High,0,52.79350280761719,47.20649719238281
10009,PRAKASAM,SC,High,0,75.51307380199432,24.486929178237915
10009,PRAKASAM,ST,High,1,0.3767129732295871,99.62329268455505
10009,PRAKASAM,Overall,High,0,57.43608772754669,42.56390929222107
10010,SRIKAKULAM,General,High,0,76.72200351953506,23.277997970581055
10010,SRIKAKULAM,OBC,High,0,75.98847150802612,24.0115225315094
10010,SRIKAKULAM,SC,High,0,75.51307380199432,24.486929178237915
10010,SRIKAKULAM,ST,High,0,76.17326229810715,23.826736211776733
10010,SRIKAKULAM,Overall,High,0,72.18186259269714,27.818137407302856
10011,VISAKHAPATNAM,General,High,0,76.72200351953506,23.277997970581055
10011,VISAKHAPATNAM,OBC,High,0,75.98847150802612,24.0115225315094
10011,VISAKHAPATNAM,SC,High,0,75.51307380199432,24.486929178237915
10011,VISAKHAPATNAM,ST,High,1,4.903911426663399,95.09609341621399
10011,VISAKHAPATNAM,Overall,High,0,72.18186259269714,27.818137407302856
10012,VIZIANAGARAM,General,High,0,76.72200351953506,23.277997970581055
10012,VIZIANAGARAM,OBC,High,1,11.938726156949997,88.06127905845642
10012,VIZIANAGARAM,SC,High,0,75.51307380199432,24.486929178237915
10012,VIZIANAGARAM,ST,High,0,74.2362380027771,25.7637619972229
10012,VIZIANAGARAM,Overall,High,1,48.57611358165741,51.42388939857483
10013,WESTGODAVARI,General,High,0,76.72200351953506,23.277997970581055
10013,WESTGODAVARI,OBC,High,0,75.98847150802612,24.0115225315094
10013,WESTGODAVARI,SC,High,0,75.51307678222656,24.486923217773438
10013,WESTGODAVARI,ST,High,1,18.538179993629456,81.4618170261383
10013,WESTGODAVARI,Overall,High,0,72.18186259269714,27.818137407302856
10101,ArunachalPradesh,General,High,1,0.06784125580452383,99.93215799331665
10101,ArunachalPradesh,SC,High,0,73.53906631469727,26.460933685302734
10101,ArunachalPradesh,ST,High,1,0.0009350945219921414,99.9990701675415
10101,ArunachalPradesh,OBC,High,0,75.98847150802612,24.0115225315094
10201,BAJALI,General,High,0,76.72200351953506,23.277997970581055
10201,BAJALI,OBC,High,0,75.98847150802612,24.0115225315094
10201,BAJALI,SC,High,0,75.51307380199432,24.486929178237915
10201,BAJALI,ST,High,0,77.49419510364532,22.505801916122437
10201,BAJALI,Overall,High,0,72.18186259269714,27.818137407302856
10202,BAKSA,General,Low,1,1.5512803036151698e-18,100.0
10202,BAKSA,OBC,Low,1,2.4800524682700258e-20,100.0
10202,BAKSA,SC,Low,1,2.61854996361603e-26,100.0
10202,BAKSA,ST,Low,1,5.615651837235231e-16,100.0
10202,BAKSA,Overall,Low,1,5.641645619630844e-19,100.0
10203,BARPETA,General,High,1,6.831177046251469e-06,99.99998807907104
10203,BARPETA,OBC,High,1,1.9822974752610707e-15,100.0
10203,BARPETA,SC,High,1,2.961683415875216e-10,100.0
10203,BARPETA,ST,High,1,2.09003559937651e-16,100.0
10203,BARPETA,Overall,High,1,7.656931977351178e-07,100.0
10204,BISWANATH,General,High,0,76.72200351953506,23.277997970581055
10204,BISWANATH,OBC,High,1,0.002320490784768481,99.99767541885376
10204,BISWANATH,SC,High,1,0.030563143081963062,99.96943473815918
10204,BISWANATH,ST,High,1,0.040527392411604524,99.95947480201721
10204,BISWANATH,Overall,High,1,0.03250798617955297,99.9674916267395
10205,BONGAIGAON,General,High,1,12.372557818889618,87.62744069099426
10205,BONGAIGAON,OBC,High,1,0.8988833986222744,99.10111427307129
10205,BONGAIGAON,SC,High,1,0.0005960980615782319,99.99940395355225
10205,BONGAIGAON,ST,High,1,0.0004260761670593638,99.99957084655762
10205,BONGAIGAON,Overall,High,1,1.3691757805645466,98.63082766532898
10206,CACHAR,General,Low,1,5.362526327371597,94.63747143745422
10206,CACHAR,OBC,Low,1,0.3099629422649741,99.69004392623901
10206,CACHAR,SC,Low,1,21.060533821582794,78.93946766853333
10206,CACHAR,ST,Low,1,0.0002765930048553855,99.99972581863403
10206,CACHAR,Overall,Low,1,1.8852392211556435,98.11475872993469
10207,CHARAIDEO,General,Low,0,77.01365351676941,22.98634648323059
10207,CHARAIDEO,OBC,Low,1,0.2176318084821105,99.7823715209961
10207,CHARAIDEO,SC,Low,0,62.016382813453674,37.98361420631409
10207,CHARAIDEO,ST,Low,0,76.07334405183792,23.92665147781372
10207,CHARAIDEO,Overall,Low,1,0.6626450922340155,99.33735132217407
10208,CHIRANG,General,High,1,0.009138944005826488,99.99085664749146
10208,CHIRANG,OBC,High,1,0.6041096989065409,99.39589500427246
10208,CHIRANG,SC,High,0,55.103522539138794,44.896477460861206
10208,CHIRANG,ST,High,0,55.28241693973541,44.71757411956787
10208,CHIRANG,Overall,High,1,0.44987727887928486,99.55012202262878
10209,DARRANG,General,High,1,0.0012529208106570877,99.99874830245972
10209,DARRANG,OBC,High,1,0.628800131380558,99.3712067604065
10209,DARRANG,SC,High,1,3.210551291704178,96.78944945335388
10209,DARRANG,ST,High,0,77.49419510364532,22.505801916122437
10209,DARRANG,Overall,High,1,0.0017848849893198349,99.99821186065674
10210,DHEMAJI,General,High,1,0.286984839476645,99.71302151679993
10210,DHEMAJI,OBC,High,1,0.13892839197069407,99.86107349395752
10210,DHEMAJI,SC,High,1,1.2287046760320663,98.77129793167114
10210,DHEMAJI,ST,High,1,0.0034528162359492853,99.99654293060303
10210,DHEMAJI,Overall,High,1,0.017867854330688715,99.98213648796082
10211,DHUBRI,General,High,1,0.012312131002545357,99.9876856803894
10211,DHUBRI,OBC,High,1,11.938726156949997,88.06127905845642
10211,DHUBRI,SC,High,0,55.103522539138794,44.896477460861206
10211,DHUBRI,ST,High,0,77.49419510364532,22.505801916122437
10211,DHUBRI,Overall,High,1,0.013488982222042978,99.98650550842285
10212,DIBRUGARH,General,High,1,0.003805495725828223,99.99619722366333
10212,DIBRUGARH,OBC,High,1,0.04607449227478355,99.95392560958862
10212,DIBRUGARH,SC,High,1,42.91006624698639,57.08993077278137
10212,DIBRUGARH,ST,High,1,29.183661937713623,70.81633806228638
10212,DIBRUGARH,Overall,High,1,0.04957730998285115,99.95042085647583
10213,DIMAHASAO,General,High,0,76.72200351953506,23.277997970581055
10213,DIMAHASAO,OBC,High,1,0.0011435522537794895,99.99885559082031
