DNo,Location,Social Category,Income,prim_Boys_socialcat,prim_Boys_income
10001,ANANTAPUR,General,High,31.53579,68.46421
10001,ANANTAPUR,SC,High,35.57552,64.42448
10002,CHITTOOR,OBC,High,39.129086,60.870922
10002,CHITTOOR,SC,High,6.381172,93.61882
10002,CHITTOOR,ST,High,20.62771,79.372284
10003,EASTGODAVARI,OBC,High,3.562914,96.43709
10003,EASTGODAVARI,ST,High,6.077905,93.9221
10004,GUNTUR,General,High,8.299873,91.70013
10004,GUNTUR,SC,High,2.8283157,97.171684
10004,GUNTUR,ST,High,11.985613,88.01439
10004,GUNTUR,Overall,High,26.185375,73.81462
10005,KADAPA,General,High,15.366724,84.63327
10005,KADAPA,SC,High,49.095364,50.904633
10005,KADAPA,ST,High,9.722452,90.27755
10005,KADAPA,Overall,High,13.614376,86.38562
10006,KRISHNA,General,High,48.97607,51.023926
10006,KRISHNA,OBC,High,23.68982,76.31018
10006,KRISHNA,SC,High,39.72633,60.27367
10006,KRISHNA,ST,High,4.807847,95.19216
10006,KRISHNA,Overall,High,3.834588,96.16541
10007,KURNOOL,OBC,High,6.559945,93.440056
10007,KURNOOL,SC,High,17.105442,82.894554
10008,NELLORE,OBC,High,3.9644322,96.03557
10009,PRAKASAM,General,High,13.740532,86.25947
10009,PRAKASAM,OBC,High,7.516338,92.48367
10009,PRAKASAM,SC,High,3.725169,96.274826
10009,PRAKASAM,Overall,High,11.906904,88.093094
10010,SRIKAKULAM,OBC,High,5.528158,94.47183
10010,SRIKAKULAM,Overall,High,3.6083388,96.39166
10011,VISAKHAPATNAM,SC,High,2.3505518,97.64945
10011,VISAKHAPATNAM,ST,High,49.49541,50.50459
10012,VIZIANAGARAM,General,High,12.308938,87.69106
10012,VIZIANAGARAM,SC,High,44.219185,55.780815
10013,WESTGODAVARI,General,High,29.765865,70.23414
10013,WESTGODAVARI,OBC,High,13.541116,86.45889
10013,WESTGODAVARI,ST,High,14.63347,85.36653
10013,WESTGODAVARI,Overall,High,4.782023,95.21798
10101,ArunachalPradesh,General,High,4.464816,95.53519
10101,ArunachalPradesh,ST,High,8.024107,91.97589
10101,ArunachalPradesh,OBC,High,34.75105,65.248955
10201,BAJALI,OBC,High,5.389986,94.61001
10201,BAJALI,ST,High,19.256775,80.743225
10202,BAKSA,General,Low,9.822999,90.177
10202,BAKSA,OBC,Low,5.0710483,94.928955
10202,BAKSA,SC,Low,11.151163,88.84884
10203,BARPETA,General,High,17.849915,82.150085
10203,BARPETA,OBC,High,3.9493442,96.05066
10203,BARPETA,ST,High,2.5006554,97.499344
10204,BISWANATH,OBC,High,27.936432,72.06357
10204,BISWANATH,SC,High,6.5815663,93.418434
10204,BISWANATH,ST,High,48.946266,51.053738
10204,BISWANATH,Overall,High,38.322308,61.67768
10205,BONGAIGAON,General,High,12.73527,87.264725
10205,BONGAIGAON,Overall,High,4.2980947,95.70191
10206,CACHAR,OBC,Low,25.823921,74.17607
10206,CACHAR,SC,Low,29.881859,70.11814
10206,CACHAR,ST,Low,8.852455,91.147545
10207,CHARAIDEO,SC,Low,21.407145,78.59286
10207,CHARAIDEO,ST,Low,7.9317822,92.06822
10207,CHARAIDEO,Overall,Low,8.103398,91.89659
10208,CHIRANG,OBC,High,16.880508,83.11949
10208,CHIRANG,Overall,High,2.6380057,97.36199
10209,DARRANG,Overall,High,47.7038,52.296204
10210,DHEMAJI,General,High,21.270761,78.72923
10210,DHEMAJI,OBC,High,45.27777,54.72222
10210,DHEMAJI,ST,High,15.498684,84.50132
10211,DHUBRI,General,High,9.5999565,90.40005
10211,DHUBRI,Overall,High,4.234921,95.765076
10212,DIBRUGARH,General,High,9.525893,90.474106
10213,DIMAHASAO,General,High,7.866498,92.13351
10213,DIMAHASAO,OBC,High,13.353751,86.64625
10213,DIMAHASAO,ST,High,29.754776,70.245224
10213,DIMAHASAO,Overall,High,7.6786904,92.32131
10214,GOALPARA,General,High,14.514978,85.485016
10214,GOALPARA,OBC,High,3.6233242,96.37668
10214,GOALPARA,ST,High,5.7571454,94.24285
10215,GOLAGHAT,General,High,4.3550816,95.64491
10215,GOLAGHAT,SC,High,5.9772453,94.02276
10215,GOLAGHAT,ST,High,3.5356145,96.464386
10215,GOLAGHAT,Overall,High,46.123455,53.87655
10216,HAILAKANDI,ST,High,9.23143,90.76857
10217,HOJAI,SC,High,5.578993,94.42101
10217,HOJAI,Overall,High,15.840189,84.15981
10218,JORHAT,General,High,38.90986,61.09015
10218,JORHAT,OBC,High,26.888472,73.111534
10218,JORHAT,ST,High,14.732742,85.26726
