DNo,Location,Social Category,Income,dropout,prim_Girls_social_category,prim_Girls_income
10001,ANANTAPUR,General,High,0,77.79921293258667,22.200793027877808
10001,ANANTAPUR,OBC,High,0,50.527071952819824,49.472928047180176
10001,ANANTAPUR,SC,High,0,78.93815338611603,21.061843633651733
10001,ANANTAPUR,ST,High,0,77.12338268756866,22.876614332199097
10001,ANANTAPUR,Overall,High,0,73.42084348201752,26.579153537750244
10002,CHITTOOR,General,High,0,77.79921293258667,22.200793027877808
10002,CHITTOOR,OBC,High,0,80.2348867058754,19.765114784240723
10002,CHITTOOR,SC,High,0,78.93815338611603,21.061843633651733
10002,CHITTOOR,ST,High,0,77.12338268756866,22.876614332199097
10002,CHITTOOR,Overall,High,0,73.42084348201752,26.579153537750244
10003,EASTGODAVARI,General,High,0,77.79921293258667,22.200793027877808
10003,EASTGODAVARI,OBC,High,0,80.2348867058754,19.765114784240723
10003,EASTGODAVARI,SC,High,0,78.93815338611603,21.061843633651733
10003,EASTGODAVARI,ST,High,0,77.12338268756866,22.876614332199097
10003,EASTGODAVARI,Overall,High,0,73.42084348201752,26.579153537750244
10004,GUNTUR,General,High,0,77.79921293258667,22.200793027877808
10004,GUNTUR,OBC,High,0,69.3644255399704,30.635571479797363
10004,GUNTUR,SC,High,0,78.93815338611603,21.061843633651733
10004,GUNTUR,ST,High,1,29.696989059448242,70.30301094055176
10004,GUNTUR,Overall,High,0,73.42084348201752,26.579153537750244
10005,KADAPA,General,High,0,77.79921293258667,22.200793027877808
10005,KADAPA,OBC,High,0,80.2348867058754,19.765114784240723
10005,KADAPA,SC,High,0,78.93815338611603,21.061843633651733
10005,KADAPA,ST,High,0,77.12338268756866,22.876614332199097
10005,KADAPA,Overall,High,0,73.42084348201752,26.579153537750244
10006,KRISHNA,General,High,0,77.79921293258667,22.200793027877808
10006,KRISHNA,OBC,High,0,80.2348867058754,19.765114784240723
10006,KRISHNA,SC,High,0,78.93815338611603,21.061843633651733
10006,KRISHNA,ST,High,0,77.12338268756866,22.876614332199097
10006,KRISHNA,Overall,High,0,73.42084348201752,26.579153537750244
10007,KURNOOL,General,High,0,77.79921293258667,22.200793027877808
10007,KURNOOL,OBC,High,1,16.954362392425537,83.04563164710999
10007,KURNOOL,SC,High,0,78.93815338611603,21.061843633651733
10007,KURNOOL,ST,High,0,77.12338268756866,22.876614332199097
10007,KURNOOL,Overall,High,0,73.42084348201752,26.579153537750244
10008,NELLORE,General,High,0,77.79921293258667,22.200793027877808
10008,NELLORE,OBC,High,0,80.2348867058754,19.765114784240723
10008,NELLORE,SC,High,0,78.93815338611603,21.061843633651733
10008,NELLORE,ST,High,1,1.117125991731882,98.8828718662262
10008,NELLORE,Overall,High,0,73.42084348201752,26.579153537750244
10009,PRAKASAM,General,High,0,77.79921293258667,22.200793027877808
10009,PRAKASAM,OBC,High,0,80.2348867058754,19.765114784240723
10009,PRAKASAM,SC,High,0,78.93815338611603,21.061843633651733
10009,PRAKASAM,ST,High,1,3.5155992954969406,96.48440480232239
10009,PRAKASAM,Overall,High,0,73.42084348201752,26.579153537750244
10010,SRIKAKULAM,General,High,0,77.79921293258667,22.200793027877808
10010,SRIKAKULAM,OBC,High,0,80.2348867058754,19.765114784240723
10010,SRIKAKULAM,SC,High,0,78.93815338611603,21.061843633651733
10010,SRIKAKULAM,ST,High,0,77.12338268756866,22.876614332199097
10010,SRIKAKULAM,Overall,High,0,73.42084348201752,26.579153537750244
10011,VISAKHAPATNAM,General,High,0,77.79921293258667,22.200793027877808
10011,VISAKHAPATNAM,OBC,High,0,80.2348867058754,19.765114784240723
10011,VISAKHAPATNAM,SC,High,0,78.93815338611603,21.061843633651733
10011,VISAKHAPATNAM,ST,High,1,9.155450016260147,90.84455370903015
10011,VISAKHAPATNAM,Overall,High,0,73.42084348201752,26.579153537750244
10012,VIZIANAGARAM,General,High,0,77.79921293258667,22.200793027877808
10012,VIZIANAGARAM,OBC,High,0,70.48055529594421,29.519450664520264
10012,VIZIANAGARAM,SC,High,0,78.93815338611603,21.061843633651733
10012,VIZIANAGARAM,ST,High,0,77.12338268756866,22.876614332199097
10012,VIZIANAGARAM,Overall,High,0,73.42084348201752,26.579153537750244
10013,WESTGODAVARI,General,High,0,77.79921293258667,22.200793027877808
10013,WESTGODAVARI,OBC,High,0,80.2348867058754,19.765114784240723
10013,WESTGODAVARI,SC,High,0,78.93815338611603,21.061843633651733
10013,WESTGODAVARI,ST,High,0,77.12337970733643,22.876620292663574
10013,WESTGODAVARI,Overall,High,0,73.42084348201752,26.579153537750244
10101,ArunachalPradesh,General,High,1,0.08602745365351439,99.9139666557312
10101,ArunachalPradesh,SC,High,0,78.93815338611603,21.061843633651733
10101,ArunachalPradesh,ST,High,1,0.012474897084757686,99.98751878738403
10101,ArunachalPradesh,OBC,High,0,80.2348867058754,19.765114784240723
10201,BAJALI,General,High,0,77.79921293258667,22.200793027877808
10201,BAJALI,OBC,High,0,80.2348867058754,19.765114784240723
10201,BAJALI,SC,High,0,78.93815338611603,21.061843633651733
10201,BAJALI,ST,High,0,77.12338268756866,22.876614332199097
10201,BAJALI,Overall,High,0,73.42084348201752,26.579153537750244
10202,BAKSA,General,Low,1,2.1222620557627414e-11,100.0
10202,BAKSA,OBC,Low,1,1.20833086985077e-12,100.0
10202,BAKSA,SC,Low,1,9.373569342420282e-17,100.0
10202,BAKSA,ST,Low,1,1.1402223566367442e-10,100.0
10202,BAKSA,Overall,Low,1,4.556297965871772e-12,100.0
10203,BARPETA,General,High,1,0.0016088546544779092,99.99839067459106
10203,BARPETA,OBC,High,1,7.58726848709701e-10,100.0
10203,BARPETA,SC,High,1,9.65557731547051e-06,99.99998807907104
10203,BARPETA,ST,High,1,2.856094917860763e-10,100.0
10203,BARPETA,Overall,High,1,0.0005831798262079246,99.9994158744812
10204,BISWANATH,General,High,0,77.79921293258667,22.200793027877808
10204,BISWANATH,OBC,High,1,0.0778846733737737,99.92210865020752
10204,BISWANATH,SC,High,1,0.39881509728729725,99.60118532180786
10204,BISWANATH,ST,High,1,0.16489429399371147,99.83510971069336
10204,BISWANATH,Overall,High,1,0.3411227371543646,99.65888261795044
10205,BONGAIGAON,General,High,1,19.78544592857361,80.21455407142639
10205,BONGAIGAON,OBC,High,1,0.19523766823112965,99.80475902557373
10205,BONGAIGAON,SC,High,1,0.02083942963508889,99.97915625572205
10205,BONGAIGAON,ST,High,1,0.01609753235243261,99.98389482498169
10205,BONGAIGAON,Overall,High,1,1.4398439787328243,98.56016039848328
10206,CACHAR,General,Low,1,43.00023317337036,56.99976682662964
10206,CACHAR,OBC,Low,1,1.7520051449537277,98.24799299240112
10206,CACHAR,SC,Low,1,2.192397788167,97.80760407447815
10206,CACHAR,ST,Low,1,0.009227090777130798,99.99077320098877
10206,CACHAR,Overall,Low,1,4.871843010187149,95.12815475463867
10207,CHARAIDEO,General,Low,0,76.21768862009048,23.782312870025635
10207,CHARAIDEO,OBC,Low,1,0.40440382435917854,99.59558844566345
10207,CHARAIDEO,SC,Low,0,74.80748295783997,25.192517042160034
10207,CHARAIDEO,ST,Low,1,9.832622855901718,90.16737341880798
10207,CHARAIDEO,Overall,Low,1,0.6465670187026262,99.35343265533447
10208,CHIRANG,General,High,1,0.3382734954357147,99.66172575950623
10208,CHIRANG,OBC,High,1,0.2863981295377016,99.71359968185425
10208,CHIRANG,SC,High,1,4.451676085591316,95.54832577705383
10208,CHIRANG,ST,High,1,25.128668546676636,74.87133145332336
10208,CHIRANG,Overall,High,1,1.161437388509512,98.83856773376465
10209,DARRANG,General,High,1,0.10735905962064862,99.89263415336609
10209,DARRANG,OBC,High,1,0.1826963503845036,99.81729984283447
10209,DARRANG,SC,High,1,0.7458017207682133,99.2542028427124
10209,DARRANG,ST,High,1,0.09220378124155104,99.90779161453247
10209,DARRANG,Overall,High,1,0.12324865674600005,99.87674951553345
10210,DHEMAJI,General,High,1,0.3679026383906603,99.63209629058838
10210,DHEMAJI,OBC,High,1,0.14886920107528567,99.8511254787445
10210,DHEMAJI,SC,High,1,0.7211497984826565,99.27884936332703
10210,DHEMAJI,ST,High,1,0.023595824313815683,99.97640252113342
10210,DHEMAJI,Overall,High,1,0.052815559320151806,99.94718432426453
10211,DHUBRI,General,High,1,0.1079551293514669,99.89204406738281
10211,DHUBRI,OBC,High,0,79.6677440404892,20.332252979278564
10211,DHUBRI,SC,High,0,59.472641348838806,40.527355670928955
10211,DHUBRI,ST,High,0,77.12338268756866,22.876614332199097
10211,DHUBRI,Overall,High,1,0.16019258182495832,99.83981251716614
10212,DIBRUGARH,General,High,1,0.06485648336820304,99.9351441860199
10212,DIBRUGARH,OBC,High,1,0.12129753595218062,99.8786985874176
10212,DIBRUGARH,SC,High,1,6.121418625116348,93.87857913970947
10212,DIBRUGARH,ST,High,1,0.33098640851676464,99.66901540756226
10212,DIBRUGARH,Overall,High,1,0.14632228994742036,99.85368251800537
10213,DIMAHASAO,General,High,0,77.79921293258667,22.200793027877808
10213,DIMAHASAO,OBC,High,1,0.21141734905540943,99.78857636451721
10213,DIMAHASAO,SC,High,1,0.010481369099579751,99.98952150344849
10213,DIMAHASAO,ST,High,1,0.24968290235847235,99.75032210350037
10213,DIMAHASAO,Overall,High,1,0.27231937274336815,99.72768425941467
10214,GOALPARA,General,High,1,0.047294440446421504,99.9527096748352
10214,GOALPARA,OBC,High,0,80.2348867058754,19.765114784240723
10214,GOALPARA,SC,High,1,1.5885952860116959,98.41140508651733
10214,GOALPARA,ST,High,1,0.5249022506177425,99.47510361671448
